league,season,team,player,nation,pos,age,born,minutes,matches_played,starts,tm_matched_name,tm_match_score,market_value_eur,kmeans_label,gmm_label
ESP-La Liga,2324,Alavés,Alex Sola,ESP,MF,24.0,1999.0,1292.0,31.0,14.0,Álex Sola,100.0,4000000.0,0,0
ESP-La Liga,2324,Granada,Raúl Torrente,ESP,DF,21.0,2001.0,1250.0,17.0,14.0,Raúl Torrente,100.0,3000000.0,1,2
ESP-La Liga,2324,Girona,Arnau Martinez,ESP,DF,20.0,2003.0,1241.0,21.0,14.0,Arnau Martínez,100.0,10000000.0,1,2
ESP-La Liga,2324,Real Sociedad,Kieran Tierney,SCO,DF,26.0,1997.0,1238.0,20.0,14.0,Kieran Tierney,100.0,12000000.0,1,2
ESP-La Liga,2324,Granada,Facundo Pellistri,URU,"MF,FW",21.0,2001.0,1404.0,24.0,15.0,Facundo Pellistri,100.0,8000000.0,0,0
ESP-La Liga,2324,Valencia,Sergi Canós,ESP,MF,26.0,1997.0,1229.0,27.0,15.0,Sergi Canós,100.0,2500000.0,0,0
ESP-La Liga,2324,Villarreal,Yerson Mosquera,COL,DF,22.0,2001.0,1229.0,16.0,14.0,Yerson Mosquera,100.0,6000000.0,3,1
ESP-La Liga,2324,Real Sociedad,Arsen Zakharyan,RUS,"MF,FW",20.0,2003.0,1228.0,29.0,15.0,Arsen Zakharyan,100.0,18000000.0,0,0
ESP-La Liga,2324,Barcelona,Ferran Torres,ESP,FW,23.0,2000.0,1211.0,29.0,12.0,Ferran Torres,100.0,30000000.0,2,3
ESP-La Liga,2324,Girona,Portu,ESP,"MF,FW",31.0,1992.0,1285.0,36.0,11.0,Portu,100.0,3500000.0,2,3
ESP-La Liga,2324,Sevilla,Juanlu Sánchez,ESP,"DF,MF",19.0,2003.0,1181.0,26.0,11.0,Juanlu Sánchez,100.0,15000000.0,1,2
ESP-La Liga,2324,Rayo Vallecano,Pep Chavarría,ESP,"DF,MF",25.0,1998.0,1167.0,22.0,12.0,Pep Chavarría,100.0,2000000.0,0,0
ESP-La Liga,2324,Cádiz,Maxi Gómez,URU,FW,26.0,1996.0,1163.0,31.0,12.0,Maxi Gómez,100.0,2000000.0,0,3
ESP-La Liga,2324,Real Madrid,David Alaba,AUT,DF,31.0,1992.0,1154.0,14.0,14.0,David Alaba,100.0,20000000.0,1,2
ESP-La Liga,2324,Athletic Club,Yeray Álvarez,ESP,DF,28.0,1995.0,1152.0,19.0,14.0,Yeray Álvarez,100.0,8000000.0,1,2
ESP-La Liga,2324,Osasuna,Pablo Ibáñez,ESP,MF,24.0,1998.0,1152.0,33.0,12.0,Pablo Ibáñez,100.0,2500000.0,0,3
ESP-La Liga,2324,Real Betis,Pablo Fornals,ESP,MF,27.0,1996.0,1574.0,30.0,18.0,Pablo Fornals,100.0,14000000.0,0,0
ESP-La Liga,2324,Alavés,Nahuel Tenaglia,ARG,DF,27.0,1996.0,1141.0,25.0,11.0,Nahuel Tenaglia,100.0,2000000.0,3,1
ESP-La Liga,2324,Real Betis,Sokratis Papastathopoulos,GRE,DF,35.0,1988.0,1136.0,15.0,12.0,Sokratis Papastathopoulos,100.0,700000.0,1,2
ESP-La Liga,2324,Alavés,Carlos Benavídez,URU,MF,25.0,1998.0,1136.0,29.0,10.0,,81.25,,3,1
ESP-La Liga,2324,Real Sociedad,Aihen Muñoz,ESP,DF,25.0,1997.0,1127.0,21.0,11.0,Aihen Muñoz,100.0,8000000.0,1,2
ESP-La Liga,2324,Sevilla,Dodi Lukebakio,BEL,"MF,FW",25.0,1997.0,1125.0,23.0,12.0,Dodi Lukébakio,100.0,12000000.0,2,3
ESP-La Liga,2324,Granada,Óscar Melendo,ESP,"MF,FW",25.0,1997.0,1122.0,26.0,15.0,Óscar Melendo,100.0,2000000.0,1,2
ESP-La Liga,2324,Villarreal,Alfonso Pedraza,ESP,DF,27.0,1996.0,1116.0,19.0,14.0,Alfonso Pedraza,100.0,5000000.0,0,0
ESP-La Liga,2324,Alavés,Carlos Vicente,ESP,MF,24.0,1999.0,1114.0,18.0,12.0,Carlos Vicente,100.0,4000000.0,0,0
ESP-La Liga,2324,Villarreal,Aïssa Mandi,ALG,DF,31.0,1991.0,1113.0,16.0,12.0,Aïssa Mandi,100.0,1800000.0,3,1
ESP-La Liga,2324,Almería,Gonzalo Melero,ESP,"MF,FW",29.0,1994.0,1103.0,28.0,10.0,Gonzalo Melero,100.0,1800000.0,3,1
ESP-La Liga,2324,Real Sociedad,Umar Sadiq,NGA,FW,26.0,1997.0,1077.0,26.0,12.0,Umar Sadiq,100.0,10000000.0,2,3
ESP-La Liga,2324,Real Sociedad,Javi Galán,ESP,DF,28.0,1994.0,1163.0,19.0,13.0,Javi Galán,100.0,7000000.0,1,2
ESP-La Liga,2324,Valencia,Mouctar Diakhaby,GUI,"DF,MF",26.0,1996.0,1073.0,14.0,12.0,Mouctar Diakhaby,100.0,2000000.0,3,1
ESP-La Liga,2324,Villarreal,Juan Foyth,ARG,DF,25.0,1998.0,1062.0,12.0,12.0,Juan Foyth,100.0,15000000.0,3,1
ESP-La Liga,2324,Real Betis,Rodri,ESP,MF,23.0,2000.0,1051.0,29.0,9.0,Álvaro Rodríguez,90.0,3500000.0,0,0
ESP-La Liga,2324,Real Betis,Nabil Fekir,FRA,"MF,FW",30.0,1993.0,1049.0,19.0,10.0,Nabil Fekir,100.0,10000000.0,0,0
ESP-La Liga,2324,Villarreal,José Luis Morales,ESP,"FW,MF",36.0,1987.0,1048.0,29.0,8.0,José Luis Morales,100.0,1500000.0,2,3
ESP-La Liga,2324,Real Betis,Assane Diao,SEN,MF,17.0,2005.0,1048.0,18.0,13.0,Assane Diao,100.0,12000000.0,3,0
ESP-La Liga,2324,Real Betis,Youssouf Sabaly,SEN,DF,30.0,1993.0,1046.0,12.0,12.0,Youssouf Sabaly,100.0,2500000.0,1,2
ESP-La Liga,2324,Sevilla,Isaac Romero,ESP,FW,23.0,2000.0,1039.0,14.0,14.0,Isaac Romero,100.0,18000000.0,2,3
ESP-La Liga,2324,Athletic Club,Ander Herrera,ESP,MF,33.0,1989.0,1030.0,23.0,10.0,Ander Herrera,100.0,2000000.0,1,2
ESP-La Liga,2324,Getafe,Carles Aleñá,ESP,MF,25.0,1998.0,1020.0,29.0,10.0,Carles Aleñá,100.0,3000000.0,0,0
ESP-La Liga,2324,Real Betis,Aitor Ruibal,ESP,"DF,MF",27.0,1996.0,1017.0,18.0,11.0,Aitor Ruibal,100.0,3500000.0,3,0
ESP-La Liga,2324,Almería,Álex Centelles,ESP,DF,25.0,1997.0,980.0,14.0,11.0,Álex Centelles,100.0,1200000.0,1,2
ESP-La Liga,2324,Almería,Alejandro Pozo Pozo,ESP,"DF,MF",24.0,1999.0,976.0,21.0,9.0,Álex Pozo,85.5,2000000.0,1,2
ESP-La Liga,2324,Getafe,Óscar Rodríguez Arnaiz,ESP,"MF,FW",25.0,1998.0,967.0,24.0,9.0,Óscar Rodríguez,95.0,2500000.0,0,3
ESP-La Liga,2324,Valencia,André Almeida,POR,"FW,MF",23.0,2000.0,965.0,18.0,12.0,André Almeida,100.0,15000000.0,3,0
ESP-La Liga,2324,Villarreal,Gonçalo Guedes,POR,"FW,MF",26.0,1996.0,951.0,17.0,9.0,Gonçalo Guedes,100.0,15000000.0,0,0
ESP-La Liga,2324,Alavés,Aleksandar Sedlar,SRB,DF,31.0,1991.0,946.0,11.0,11.0,Aleksandar Sedlar,100.0,400000.0,3,1
ESP-La Liga,2324,Barcelona,Gavi,ESP,"MF,FW",18.0,2004.0,944.0,12.0,10.0,Gavi,100.0,90000000.0,1,0
ESP-La Liga,2324,Barcelona,Oriol Romeu,ESP,MF,31.0,1991.0,936.0,28.0,11.0,Oriol Romeu,100.0,2000000.0,1,2
ESP-La Liga,2324,Osasuna,José Arnaiz,ESP,"FW,MF",28.0,1995.0,929.0,26.0,9.0,José María Giménez,85.5,22000000.0,0,0
ESP-La Liga,2324,Valencia,Roman Yaremchuk,UKR,FW,27.0,1995.0,928.0,25.0,11.0,Roman Yaremchuk,100.0,3500000.0,2,3
ESP-La Liga,2324,Almería,Luis Suárez,COL,"FW,MF",25.0,1997.0,917.0,15.0,10.0,Luis Suárez,100.0,3500000.0,2,3
ESP-La Liga,2324,Almería,Jonathan Viera,ESP,MF,33.0,1989.0,1529.0,21.0,19.0,Jonathan Viera,100.0,1000000.0,0,0
ESP-La Liga,2324,Villarreal,Francis Coquelin,FRA,MF,32.0,1991.0,910.0,17.0,10.0,Francis Coquelin,100.0,1500000.0,1,2
ESP-La Liga,2324,Getafe,Domingos Duarte,POR,DF,28.0,1995.0,907.0,15.0,11.0,Domingos Duarte,100.0,2000000.0,1,2
ESP-La Liga,2324,Celta Vigo,Anastasios Douvikas,GRE,FW,23.0,1999.0,905.0,32.0,7.0,Anastasios Douvikas,100.0,6000000.0,2,3
ESP-La Liga,2324,Real Betis,Abde Ezzalzouli,MAR,MF,21.0,2001.0,933.0,28.0,6.0,Abde Ezzalzouli,100.0,9000000.0,0,0
ESP-La Liga,2324,Osasuna,Ezequiel Ávila,ARG,"FW,MF",29.0,1994.0,1162.0,23.0,14.0,,73.28571428571429,,0,0
ESP-La Liga,2324,Real Sociedad,Sheraldo Becker,SUR,"FW,MF",28.0,1995.0,1416.0,26.0,15.0,Sheraldo Becker,100.0,10000000.0,0,0
ESP-La Liga,2425,Rayo Vallecano,Florian Lejeune,FRA,DF,33.0,1991.0,3325.0,37.0,37.0,Florian Lejeune,100.0,2500000.0,1,1
ESP-La Liga,2425,Valencia,Cristhian Mosquera,ESP,DF,20.0,2004.0,3319.0,37.0,37.0,Cristhian Mosquera,100.0,30000000.0,3,1
ESP-La Liga,2425,Mallorca,Antonio Raillo,ESP,DF,32.0,1991.0,3207.0,36.0,36.0,Antonio Raíllo,100.0,1800000.0,1,1
ESP-La Liga,2425,Espanyol,Omar El Hilali,MAR,DF,20.0,2003.0,3153.0,36.0,36.0,Omar El Hilali,100.0,15000000.0,1,2
ESP-La Liga,2425,Alavés,Carlos Vicente,ESP,MF,25.0,1999.0,3092.0,37.0,35.0,Carlos Vicente,100.0,10000000.0,0,0
ESP-La Liga,2425,Sevilla,Dodi Lukebakio,BEL,"MF,FW",26.0,1997.0,3092.0,38.0,36.0,Dodi Lukébakio,100.0,20000000.0,2,3
ESP-La Liga,2425,Osasuna,Jesús Areso,ESP,DF,25.0,1999.0,3079.0,36.0,35.0,Jesús Areso,100.0,12000000.0,1,2
ESP-La Liga,2425,Osasuna,Catena,ESP,DF,29.0,1994.0,3074.0,35.0,35.0,Alejandro Catena,90.0,3000000.0,1,1
ESP-La Liga,2425,Rayo Vallecano,Andrei Ratiu,ROU,"DF,MF",26.0,1998.0,3065.0,35.0,34.0,Andrei Rațiu,100.0,12000000.0,1,0
ESP-La Liga,2425,Real Madrid,Federico Valverde,URU,"MF,DF",26.0,1998.0,3032.0,36.0,34.0,Federico Valverde,100.0,130000000.0,3,0
ESP-La Liga,2425,Valencia,César Tárrega,ESP,DF,22.0,2002.0,3026.0,34.0,34.0,César Tárrega,100.0,10000000.0,3,1
ESP-La Liga,2425,Osasuna,Enzo Boyomo,CMR,DF,22.0,2001.0,3257.0,37.0,36.0,Enzo Boyomo,100.0,20000000.0,3,1
ESP-La Liga,2425,Espanyol,Javi Puado,ESP,"MF,FW",26.0,1998.0,2974.0,35.0,35.0,Javi Puado,100.0,10000000.0,2,3
ESP-La Liga,2425,Espanyol,Marash Kumbulla,ALB,DF,24.0,2000.0,2972.0,35.0,34.0,Marash Kumbulla,100.0,7500000.0,3,1
ESP-La Liga,2425,Getafe,Omar Alderete,PAR,DF,27.0,1996.0,2971.0,34.0,34.0,Omar Alderete,100.0,8000000.0,1,0
ESP-La Liga,2425,Osasuna,Aimar Oroz,ESP,MF,22.0,2001.0,2966.0,37.0,35.0,Aimar Oroz,100.0,15000000.0,0,0
ESP-La Liga,2425,Real Sociedad,Martín Zubimendi,ESP,MF,25.0,1999.0,2962.0,36.0,33.0,Martín Zubimendi,100.0,60000000.0,1,1
ESP-La Liga,2425,Osasuna,Lucas Torró,ESP,MF,30.0,1994.0,2957.0,35.0,35.0,Lucas Torró,100.0,3000000.0,3,1
ESP-La Liga,2425,Leganés,Sergi,ESP,DF,32.0,1992.0,2957.0,36.0,33.0,Sergio Mestre,90.0,50000.0,3,0
ESP-La Liga,2425,Osasuna,Ante Budimir,CRO,FW,33.0,1991.0,2952.0,38.0,34.0,Ante Budimir,100.0,5000000.0,2,3
ESP-La Liga,2425,Villarreal,Sergi Cardona,ESP,DF,25.0,1999.0,2945.0,35.0,34.0,Sergi Cardona,100.0,10000000.0,1,0
ESP-La Liga,2425,Sevilla,Carmona,ESP,DF,22.0,2002.0,2942.0,35.0,35.0,José Ángel Carmona,90.0,12000000.0,1,2
ESP-La Liga,2425,Alavés,Nahuel Tenaglia,ARG,DF,28.0,1996.0,2922.0,34.0,33.0,Nahuel Tenaglia,100.0,3000000.0,1,0
ESP-La Liga,2425,Real Madrid,Kylian Mbappé,FRA,FW,25.0,1998.0,2907.0,34.0,34.0,Kylian Mbappé,100.0,180000000.0,2,3
ESP-La Liga,2425,Getafe,Iglesias,ESP,"DF,MF",26.0,1998.0,2888.0,37.0,32.0,Borja Iglesias,90.0,3000000.0,1,2
ESP-La Liga,2425,Barcelona,Pedri,ESP,MF,21.0,2002.0,2879.0,37.0,35.0,Pedri,100.0,140000000.0,0,0
ESP-La Liga,2425,Getafe,Luis Milla,ESP,MF,29.0,1994.0,2875.0,33.0,32.0,Luis Milla,100.0,3500000.0,0,0
ESP-La Liga,2425,Espanyol,Leandro Cabrera,URU,DF,33.0,1991.0,2869.0,33.0,32.0,Leandro Cabrera,100.0,1000000.0,3,1
ESP-La Liga,2425,Barcelona,Lamine Yamal,ESP,"MF,FW",17.0,2007.0,2856.0,35.0,31.0,Lamine Yamal,100.0,200000000.0,2,3
ESP-La Liga,2425,Barcelona,Raphinha,BRA,"MF,FW",27.0,1996.0,2839.0,36.0,32.0,Raphinha,100.0,90000000.0,2,0
ESP-La Liga,2425,Valencia,Luis Rioja,ESP,MF,30.0,1993.0,2854.0,37.0,33.0,Luis Rioja,100.0,2000000.0,0,0
ESP-La Liga,2425,Getafe,Diego Rico,ESP,DF,31.0,1993.0,2819.0,33.0,32.0,Diego Rico,100.0,1200000.0,1,2
ESP-La Liga,2425,Girona,Daley Blind,NED,DF,34.0,1990.0,2780.0,34.0,31.0,Daley Blind,100.0,1500000.0,1,2
ESP-La Liga,2425,Mallorca,Martin Valjent,SVK,DF,28.0,1995.0,2763.0,31.0,31.0,Martin Valjent,100.0,6000000.0,3,1
ESP-La Liga,2425,Mallorca,Johan Mojica,COL,DF,31.0,1992.0,2755.0,36.0,30.0,Johan Mojica,100.0,2000000.0,1,0
ESP-La Liga,2425,Mallorca,Sergi Darder,ESP,MF,30.0,1993.0,2744.0,38.0,34.0,Sergi Darder,100.0,4000000.0,0,0
ESP-La Liga,2425,Real Sociedad,Sergio Gómez,ESP,MF,23.0,2000.0,2738.0,37.0,31.0,Sergio Gómez,100.0,20000000.0,0,0
ESP-La Liga,2425,Valencia,Diego López,ESP,MF,22.0,2002.0,2737.0,38.0,35.0,Diego López,100.0,15000000.0,0,0
ESP-La Liga,2425,Celta Vigo,Óscar Mingueza,ESP,"MF,DF",25.0,1999.0,2729.0,34.0,31.0,Óscar Mingueza,100.0,20000000.0,0,0
ESP-La Liga,2425,Alavés,Antonio Blanco,ESP,MF,24.0,2000.0,2727.0,35.0,32.0,Antonio Blanco,100.0,10000000.0,1,2
ESP-La Liga,2425,Espanyol,Alex Král,CZE,MF,26.0,1998.0,2714.0,37.0,29.0,Alex Král,100.0,6000000.0,1,2
ESP-La Liga,2425,Las Palmas,Alberto Moleiro,ESP,MF,20.0,2003.0,2714.0,35.0,32.0,Alberto Moleiro,100.0,25000000.0,0,3
ESP-La Liga,2425,Real Madrid,Aurélien Tchouaméni,FRA,"DF,MF",24.0,2000.0,2689.0,32.0,31.0,Aurélien Tchouaméni,100.0,75000000.0,1,2
ESP-La Liga,2425,Sevilla,Loïc Bade,FRA,DF,24.0,2000.0,2686.0,32.0,31.0,Loïc Badé,100.0,25000000.0,1,1
ESP-La Liga,2425,Barcelona,Robert Lewandowski,POL,FW,35.0,1988.0,2667.0,34.0,32.0,Robert Lewandowski,100.0,12000000.0,2,3
ESP-La Liga,2425,Getafe,Mauro Arambarri,URU,MF,28.0,1995.0,2661.0,35.0,31.0,Mauro Arambarri,100.0,12000000.0,3,0
ESP-La Liga,2425,Athletic Club,Iñaki Williams,GHA,"MF,FW",30.0,1994.0,2652.0,35.0,29.0,Iñaki Williams,100.0,15000000.0,0,0
ESP-La Liga,2425,Mallorca,Samu Costa,POR,MF,23.0,2000.0,2649.0,32.0,31.0,Samú Costa,100.0,15000000.0,1,2
ESP-La Liga,2425,Celta Vigo,Marcos Alonso,ESP,DF,33.0,1990.0,2647.0,31.0,29.0,Marcos Alonso,100.0,1500000.0,3,1
ESP-La Liga,2425,Alavés,Manu Sánchez,ESP,DF,23.0,2000.0,2634.0,33.0,30.0,Manu Sánchez,100.0,6000000.0,1,0
ESP-La Liga,2425,Girona,Arnau Martinez,ESP,"DF,MF",21.0,2003.0,2624.0,32.0,30.0,Arnau Martínez,100.0,10000000.0,3,1
ESP-La Liga,2425,Barcelona,Pau Cubarsí,ESP,DF,17.0,2007.0,2618.0,35.0,29.0,Pau Cubarsí,100.0,80000000.0,1,2
ESP-La Liga,2425,Athletic Club,Daniel Vivian,ESP,DF,25.0,1999.0,2608.0,32.0,28.0,Dani Vivian,91.66666666666666,40000000.0,3,1
ESP-La Liga,2425,Barcelona,Jules Koundé,FRA,DF,25.0,1998.0,2605.0,32.0,29.0,Jules Koundé,100.0,65000000.0,3,0
ESP-La Liga,2425,Villarreal,Álex Baena,ESP,"MF,FW",23.0,2001.0,2595.0,32.0,30.0,Álex Baena,100.0,55000000.0,0,0
ESP-La Liga,2425,Leganés,Valentin Rosier,FRA,DF,27.0,1996.0,2595.0,32.0,28.0,Valentin Rosier,100.0,3000000.0,1,0
ESP-La Liga,2425,Las Palmas,Javier Muñoz,ESP,"MF,DF",29.0,1995.0,2588.0,35.0,28.0,Javi Muñoz,90.9090909090909,2000000.0,1,1
ESP-La Liga,2425,Villarreal,Logan Costa,CPV,DF,23.0,2001.0,2677.0,33.0,29.0,Logan Costa,100.0,18000000.0,3,1
ESP-La Liga,2425,Rayo Vallecano,Pep Chavarría,ESP,DF,26.0,1998.0,2585.0,34.0,28.0,Pep Chavarría,100.0,5000000.0,1,2
ESP-La Liga,2425,Valencia,Javier Guerra,ESP,MF,21.0,2003.0,2581.0,36.0,31.0,Javi Guerra,91.66666666666666,25000000.0,3,1
ESP-La Liga,2425,Villarreal,Santi Comesaña,ESP,MF,27.0,1996.0,2560.0,35.0,30.0,Santi Comesaña,100.0,8000000.0,3,1
ESP-La Liga,2425,Rayo Vallecano,Álvaro García,ESP,"MF,FW",31.0,1992.0,2559.0,36.0,28.0,Álvaro García,100.0,2000000.0,0,0
ESP-La Liga,2425,Valladolid,Luis Pérez,ESP,DF,29.0,1995.0,2558.0,30.0,28.0,Luis Pérez,100.0,1400000.0,1,2
ESP-La Liga,2425,Espanyol,Carlos Romero,ESP,"DF,MF",22.0,2001.0,2554.0,34.0,28.0,Carlos Romero,100.0,5000000.0,1,0
ESP-La Liga,2425,Getafe,Djené,TOG,"DF,MF",32.0,1991.0,2548.0,31.0,31.0,Dakonam Djené,90.0,1800000.0,1,2
ESP-La Liga,2425,Alavés,Kiké,ESP,FW,34.0,1989.0,2542.0,35.0,29.0,Kike Salas,90.0,8000000.0,2,3
ESP-La Liga,2425,Real Betis,Diego Llorente,ESP,DF,30.0,1993.0,2519.0,30.0,29.0,Diego Llorente,100.0,6000000.0,3,1
ESP-La Liga,2425,Celta Vigo,Javi Rodríguez,ESP,DF,21.0,2003.0,2514.0,36.0,26.0,Javi Rodríguez,100.0,15000000.0,3,1
ESP-La Liga,2425,Atlético Madrid,Marcos Llorente,ESP,"DF,MF",29.0,1995.0,2513.0,33.0,28.0,Marcos Llorente,100.0,25000000.0,3,0
ESP-La Liga,2425,Atlético Madrid,Julián Álvarez,ARG,FW,24.0,2000.0,2509.0,37.0,30.0,Julián Alvarez,100.0,100000000.0,2,3
ESP-La Liga,2425,Rayo Vallecano,Jorge de Frutos,ESP,"MF,FW",27.0,1997.0,2495.0,36.0,30.0,Jorge de Frutos,100.0,4000000.0,0,0
ESP-La Liga,2425,Sevilla,Nemanja Gudelj,SRB,"MF,DF",32.0,1991.0,2493.0,31.0,27.0,Nemanja Gudelj,100.0,3000000.0,1,1
ESP-La Liga,2425,Barcelona,Iñigo Martínez,ESP,DF,33.0,1991.0,2490.0,28.0,28.0,Iñigo Martínez,100.0,5000000.0,1,2
