league,season,team,player,nation,pos,age,born,minutes,matches_played,starts,tm_matched_name,tm_match_score,market_value_eur,kmeans_label,gmm_label
ESP-La Liga,2425,Girona,Yaser Asprilla,COL,"MF,FW",20.0,2003.0,1405.0,27.0,15.0,Yáser Asprilla,100.0,15000000.0,0,0
ESP-La Liga,2425,Valladolid,Iván Sánchez,ESP,MF,31.0,1992.0,1404.0,32.0,11.0,Iván Sánchez,100.0,600000.0,0,0
ESP-La Liga,2425,Valladolid,Juanmi Latasa,ESP,FW,23.0,2001.0,1398.0,28.0,14.0,Juanmi Latasa,100.0,2000000.0,2,3
ESP-La Liga,2425,Mallorca,Antonio Sánchez,ESP,"MF,DF",27.0,1997.0,1395.0,33.0,12.0,Antonio Sánchez,100.0,2500000.0,1,2
ESP-La Liga,2425,Celta Vigo,Pablo Durán,ESP,"FW,MF",23.0,2001.0,1394.0,27.0,15.0,Pablo Durán,100.0,3500000.0,2,3
ESP-La Liga,2425,Valladolid,David Torres,ESP,DF,21.0,2003.0,1387.0,18.0,15.0,David Torres,100.0,1500000.0,1,2
ESP-La Liga,2425,Real Madrid,Brahim Díaz,MAR,"MF,FW",24.0,1999.0,1385.0,31.0,16.0,Brahim Díaz,100.0,40000000.0,0,0
ESP-La Liga,2425,Valladolid,Selim Amallah,MAR,MF,27.0,1996.0,1376.0,24.0,18.0,Selim Amallah,100.0,1600000.0,3,0
ESP-La Liga,2425,Espanyol,Urko González,ESP,MF,23.0,2001.0,1419.0,18.0,17.0,Urko González de Zárate,90.0,5000000.0,1,2
ESP-La Liga,2425,Celta Vigo,Alfon,ESP,"FW,MF",25.0,1999.0,1371.0,26.0,14.0,Alfonso Pedraza,90.0,2500000.0,2,0
ESP-La Liga,2425,Osasuna,Jorge Herrando,ESP,DF,23.0,2001.0,1366.0,18.0,15.0,Jorge Herrando,100.0,4000000.0,3,1
ESP-La Liga,2425,Real Betis,Antony,BRA,MF,24.0,2000.0,1503.0,25.0,15.0,Antony,100.0,35000000.0,0,0
ESP-La Liga,2425,Girona,Oriol Romeu,ESP,MF,32.0,1991.0,1356.0,25.0,17.0,Oriol Romeu,100.0,1200000.0,1,2
ESP-La Liga,2425,Celta Vigo,Williot Swedberg,SWE,"FW,MF",20.0,2004.0,1348.0,32.0,15.0,Williot Swedberg,100.0,5000000.0,2,0
ESP-La Liga,2425,Girona,Abel Ruiz,ESP,FW,24.0,2000.0,1346.0,23.0,17.0,Abel Ruiz,100.0,4000000.0,3,3
ESP-La Liga,2425,Mallorca,Manu Morlanes,ESP,MF,25.0,1999.0,1338.0,23.0,15.0,Manu Morlanes,100.0,2500000.0,1,2
ESP-La Liga,2425,Girona,Arnaut Danjuma,NED,"MF,FW",27.0,1997.0,1535.0,28.0,18.0,Arnaut Danjuma,100.0,4000000.0,0,3
ESP-La Liga,2425,Alavés,Carlos Martín,ESP,"MF,FW",22.0,2002.0,1333.0,26.0,16.0,Carlos Martín,100.0,2800000.0,0,0
ESP-La Liga,2425,Leganés,Óscar Rodríguez Arnaiz,ESP,MF,26.0,1998.0,1330.0,29.0,12.0,Óscar Rodríguez,95.0,2000000.0,0,0
ESP-La Liga,2425,Las Palmas,Juanma Herzog,ESP,DF,20.0,2004.0,1315.0,19.0,15.0,Juanma Herzog,100.0,2500000.0,1,2
ESP-La Liga,2425,Real Betis,Aitor Ruibal,ESP,"DF,FW",28.0,1996.0,1313.0,29.0,13.0,Aitor Ruibal,100.0,3500000.0,1,0
ESP-La Liga,2425,Osasuna,Pablo Ibáñez,ESP,MF,25.0,1998.0,1294.0,28.0,13.0,Pablo Ibáñez,100.0,2000000.0,1,1
ESP-La Liga,2425,Athletic Club,Unai Gómez,ESP,"MF,FW",21.0,2003.0,1284.0,32.0,14.0,Unai Gómez,100.0,6000000.0,0,0
ESP-La Liga,2425,Mallorca,Roberto Navarro,ESP,MF,22.0,2002.0,1278.0,23.0,15.0,Robert Navarro,96.55172413793105,6000000.0,1,0
ESP-La Liga,2425,Real Betis,Ricardo Rodríguez,SUI,DF,31.0,1992.0,1274.0,18.0,15.0,Ricardo Rodríguez,100.0,2000000.0,1,2
ESP-La Liga,2425,Real Sociedad,Ander Barrenetxea,ESP,MF,22.0,2001.0,1263.0,30.0,14.0,Ander Barrenetxea,100.0,15000000.0,0,0
ESP-La Liga,2425,Celta Vigo,Hugo Sotelo,ESP,MF,20.0,2003.0,1254.0,24.0,15.0,Hugo Sotelo,100.0,4000000.0,1,2
ESP-La Liga,2425,Barcelona,Fermin López,ESP,MF,21.0,2003.0,1252.0,28.0,12.0,Fermín López,100.0,50000000.0,2,0
ESP-La Liga,2425,Real Madrid,Arda Güler,TUR,"MF,FW",19.0,2005.0,1250.0,28.0,14.0,Arda Güler,100.0,45000000.0,0,0
ESP-La Liga,2425,Real Sociedad,Pablo Marín,ESP,MF,21.0,2003.0,1239.0,23.0,14.0,Pablo Marín,100.0,8000000.0,1,1
ESP-La Liga,2425,Espanyol,Álvaro Tejero,ESP,"MF,DF",28.0,1996.0,1238.0,28.0,13.0,Álvaro Tejero,100.0,1800000.0,0,0
ESP-La Liga,2425,Real Betis,Vitor Roque,BRA,FW,19.0,2005.0,1235.0,22.0,14.0,Vitor Roque,100.0,20000000.0,2,3
ESP-La Liga,2425,Getafe,Ramón Terrats,ESP,"MF,FW",23.0,2000.0,1350.0,26.0,16.0,Ramón Terrats,100.0,4000000.0,0,0
ESP-La Liga,2425,Real Madrid,Dani Ceballos,ESP,MF,27.0,1996.0,1215.0,23.0,15.0,Dani Ceballos,100.0,10000000.0,1,2
ESP-La Liga,2425,Barcelona,Dani Olmo,ESP,MF,26.0,1998.0,1212.0,25.0,13.0,Dani Olmo,100.0,60000000.0,2,3
ESP-La Liga,2425,Rayo Vallecano,Pedro Díaz,ESP,MF,26.0,1998.0,1211.0,26.0,12.0,Pedro Díaz,100.0,3000000.0,0,0
ESP-La Liga,2425,Rayo Vallecano,Iván Balliu,ALB,DF,32.0,1992.0,1200.0,25.0,12.0,Iván Balliu,100.0,1400000.0,1,2
ESP-La Liga,2425,Leganés,Diego,ESP,"FW,MF",24.0,2000.0,1195.0,28.0,13.0,Diego Aguado,90.0,1000000.0,2,3
ESP-La Liga,2425,Valladolid,Kike Pérez,ESP,MF,27.0,1997.0,2305.0,35.0,27.0,Kike Pérez,100.0,2800000.0,1,0
ESP-La Liga,2425,Las Palmas,José Campaña,ESP,MF,31.0,1993.0,1189.0,25.0,15.0,José Campaña,100.0,900000.0,1,2
ESP-La Liga,2425,Valladolid,Marcos André,BRA,FW,27.0,1996.0,1188.0,22.0,14.0,Marcos André,100.0,1000000.0,0,0
ESP-La Liga,2425,Villarreal,Raúl Albiol,ESP,DF,38.0,1985.0,1188.0,15.0,14.0,Raúl Albiol,100.0,1000000.0,1,2
ESP-La Liga,2425,Celta Vigo,Carlos Dominguez,ESP,DF,23.0,2001.0,1181.0,19.0,13.0,Carlos Domínguez,100.0,3000000.0,1,2
ESP-La Liga,2425,Girona,Alejandro Francés,ESP,DF,21.0,2002.0,1173.0,18.0,13.0,Alejandro Francés,100.0,2000000.0,1,2
ESP-La Liga,2425,Barcelona,Frenkie de Jong,NED,MF,27.0,1997.0,1143.0,26.0,9.0,Frenkie de Jong,100.0,45000000.0,3,1
ESP-La Liga,2425,Real Betis,Cucho,COL,FW,25.0,1999.0,1139.0,15.0,14.0,Cucho Hernández,90.0,18000000.0,2,3
ESP-La Liga,2425,Sevilla,Peque,ESP,"MF,FW",21.0,2002.0,1134.0,26.0,14.0,Peque Fernández,90.0,3500000.0,0,0
ESP-La Liga,2425,Rayo Vallecano,Sergio Camello,ESP,FW,23.0,2001.0,1134.0,23.0,14.0,Sergio Camello,100.0,3000000.0,2,0
ESP-La Liga,2425,Rayo Vallecano,Randy Nteka,ANG,FW,26.0,1997.0,1129.0,24.0,16.0,Randy Nteka,100.0,1500000.0,2,3
ESP-La Liga,2425,Espanyol,Alejo Véliz,ARG,FW,20.0,2003.0,1127.0,27.0,10.0,Alejo Veliz,100.0,2500000.0,0,3
ESP-La Liga,2425,Villarreal,Willy Kambwala,FRA,DF,19.0,2004.0,1117.0,19.0,12.0,Willy Kambwala,100.0,4000000.0,1,2
ESP-La Liga,2425,Getafe,Borja Mayoral,ESP,FW,27.0,1997.0,1114.0,24.0,7.0,Borja Mayoral,100.0,7500000.0,2,3
ESP-La Liga,2425,Real Betis,Jesus Rodríguez,ESP,MF,18.0,2005.0,1111.0,21.0,15.0,Jesús Rodríguez,100.0,30000000.0,0,0
ESP-La Liga,2425,Barcelona,Ferran Torres,ESP,"FW,MF",24.0,2000.0,1106.0,27.0,12.0,Ferran Torres,100.0,40000000.0,2,3
ESP-La Liga,2425,Real Madrid,Eduardo Camavinga,FRA,"MF,DF",21.0,2002.0,1102.0,19.0,11.0,Eduardo Camavinga,100.0,60000000.0,3,0
ESP-La Liga,2425,Athletic Club,Adama Boiro,ESP,DF,22.0,2002.0,1101.0,18.0,13.0,Adama Boiro,100.0,2500000.0,1,2
ESP-La Liga,2425,Real Sociedad,Aihen Muñoz,ESP,DF,26.0,1997.0,1098.0,21.0,13.0,Aihen Muñoz,100.0,4000000.0,1,2
ESP-La Liga,2425,Alavés,Carles Aleñá,ESP,MF,26.0,1998.0,1542.0,24.0,18.0,Carles Aleñá,100.0,2500000.0,0,2
ESP-La Liga,2425,Barcelona,Gavi,ESP,MF,19.0,2004.0,1085.0,26.0,14.0,Gavi,100.0,60000000.0,3,1
ESP-La Liga,2425,Getafe,Bertuğ Yıldırım,TUR,FW,22.0,2002.0,1083.0,22.0,14.0,Bertuğ Yıldırım,100.0,2000000.0,0,3
ESP-La Liga,2425,Girona,Cristhian Stuani,URU,FW,37.0,1986.0,1078.0,32.0,6.0,Cristhian Stuani,100.0,1000000.0,2,3
ESP-La Liga,2425,Getafe,Juan Berrocal,ESP,DF,25.0,1999.0,1063.0,19.0,11.0,Juan Berrocal,100.0,1500000.0,1,2
ESP-La Liga,2425,Mallorca,Takuma Asano,JPN,"MF,FW",29.0,1994.0,1054.0,21.0,13.0,Takuma Asano,100.0,2500000.0,0,0
ESP-La Liga,2425,Espanyol,Edu Expósito,ESP,MF,27.0,1996.0,1045.0,19.0,12.0,Edu Expósito,100.0,3000000.0,0,0
ESP-La Liga,2425,Barcelona,Gerard Martín,ESP,DF,22.0,2002.0,1038.0,28.0,11.0,Gerard Martín,100.0,12000000.0,3,0
ESP-La Liga,2425,Las Palmas,Marvin,ESP,"DF,MF",24.0,2000.0,1038.0,23.0,9.0,Marvin Park,90.0,1200000.0,1,2
ESP-La Liga,2425,Getafe,Alex Sola,ESP,MF,25.0,1999.0,1029.0,19.0,13.0,Álex Sola,100.0,2500000.0,1,3
ESP-La Liga,2425,Rayo Vallecano,Aridane Hernández,ESP,DF,35.0,1989.0,1025.0,14.0,11.0,Aridane Hernández,100.0,300000.0,1,2
ESP-La Liga,2425,Espanyol,Antoniu,ESP,MF,21.0,2002.0,1022.0,26.0,13.0,Antoniu Roca,90.0,1800000.0,1,3
ESP-La Liga,2425,Espanyol,Brian Oliván,ESP,DF,30.0,1994.0,1017.0,17.0,12.0,Brian Oliván,100.0,1800000.0,1,2
ESP-La Liga,2425,Alavés,Toni Martínez,ESP,FW,27.0,1997.0,1012.0,28.0,9.0,Toni Martínez,100.0,2500000.0,2,3
ESP-La Liga,2425,Getafe,Coba da Costa,ESP,MF,22.0,2002.0,1006.0,19.0,12.0,Coba da Costa,100.0,3000000.0,0,0
ESP-La Liga,2425,Real Madrid,Ferland Mendy,FRA,DF,29.0,1995.0,1005.0,14.0,12.0,Ferland Mendy,100.0,14000000.0,1,2
ESP-La Liga,2425,Las Palmas,Manuel Fuster,ESP,"MF,FW",26.0,1997.0,1003.0,28.0,8.0,Manu Fuster,91.66666666666666,1500000.0,0,0
ESP-La Liga,2425,Real Sociedad,Sheraldo Becker,SUR,"MF,FW",29.0,1995.0,995.0,22.0,11.0,Sheraldo Becker,100.0,2500000.0,0,0
ESP-La Liga,2425,Athletic Club,Mikel Vesga,ESP,MF,31.0,1993.0,988.0,25.0,10.0,Mikel Vesga,100.0,2500000.0,1,2
ESP-La Liga,2425,Las Palmas,Stefan Bajcetic,ESP,"MF,DF",19.0,2004.0,969.0,14.0,12.0,Stefan Bajcetic,100.0,9000000.0,3,1
ESP-La Liga,2425,Sevilla,Chidera Ejuke,NGA,"MF,FW",26.0,1998.0,966.0,25.0,9.0,Chidera Ejuke,100.0,4000000.0,0,0
ESP-La Liga,2425,Valencia,Yarek Gasiorowski,ESP,DF,19.0,2005.0,947.0,15.0,9.0,Yarek Gasiorowski,100.0,7500000.0,1,2
ESP-La Liga,2425,Real Sociedad,Orri Steinn Óskarsson,ISL,FW,19.0,2004.0,944.0,23.0,9.0,Orri Óskarsson,85.5,15000000.0,2,3
ESP-La Liga,2425,Real Sociedad,Beñat Turrientes,ESP,MF,22.0,2002.0,942.0,21.0,11.0,Beñat Turrientes,100.0,10000000.0,1,2
ESP-La Liga,2425,Girona,Arthur Melo,BRA,MF,27.0,1996.0,941.0,15.0,10.0,Arthur Melo,100.0,5000000.0,1,2
ESP-La Liga,2425,Atlético Madrid,Reinildo Mandava,MOZ,"DF,MF",30.0,1994.0,941.0,19.0,10.0,Reinildo Mandava,100.0,5000000.0,1,2
ESP-La Liga,2425,Real Madrid,Éder Militão,BRA,DF,26.0,1998.0,938.0,12.0,11.0,Éder Militão,100.0,30000000.0,3,1
ESP-La Liga,2425,Celta Vigo,Damián Rodríguez,ESP,MF,21.0,2003.0,927.0,17.0,10.0,Damián Rodríguez,100.0,3000000.0,1,2
ESP-La Liga,2425,Valencia,Jesus Vazquez,ESP,DF,21.0,2003.0,919.0,19.0,10.0,Jesús Vázquez,100.0,3000000.0,1,2
ESP-La Liga,2425,Villarreal,Pau Navarro,ESP,DF,19.0,2005.0,916.0,17.0,8.0,Pau Navarro,100.0,3000000.0,1,2
ESP-La Liga,2425,Real Betis,Marc Roca,ESP,MF,27.0,1996.0,906.0,14.0,11.0,Marc Roca,100.0,6000000.0,3,0
ESP-La Liga,2425,Real Sociedad,Jon Martin,ESP,DF,18.0,2006.0,904.0,13.0,6.0,Jon Martín,100.0,8000000.0,1,2
ESP-La Liga,2425,Valladolid,Abdulai Juma Bah,SLE,DF,18.0,2006.0,1550.0,22.0,18.0,Juma Bah,90.0,6000000.0,1,2
ESP-La Liga,2425,Valencia,Umar Sadiq,NGA,FW,27.0,1997.0,1052.0,23.0,11.0,Umar Sadiq,100.0,5000000.0,2,3
ESP-La Liga,2425,Celta Vigo,Anastasios Douvikas,GRE,FW,24.0,1999.0,1280.0,33.0,12.0,Anastasios Douvikas,100.0,10000000.0,2,3
ESP-La Liga,2425,Getafe,Juan Bernat,ESP,MF,31.0,1993.0,911.0,24.0,10.0,Juan Bernat,100.0,2000000.0,1,2
ESP-La Liga,2425,Getafe,Juanmi,ESP,FW,31.0,1993.0,940.0,24.0,10.0,Juanmi,100.0,2000000.0,1,3
ESP-La Liga,2425,Sevilla,Ruben Vargas,SUI,"MF,FW",25.0,1998.0,976.0,19.0,12.0,Rubén Vargas,100.0,7000000.0,0,0
ESP-La Liga,2425,Valladolid,Florian Grillitsch,AUT,MF,28.0,1995.0,1224.0,21.0,15.0,Florian Grillitsch,100.0,2000000.0,1,2
FRA-Ligue 1,2324,Lyon,Maxence Caqueret,FRA,MF,23.0,2000.0,3022.0,34.0,34.0,Maxence Caqueret,100.0,20000000.0,1,0
FRA-Ligue 1,2324,Clermont Foot,Andy Pelmard,MAD,DF,23.0,2000.0,2989.0,34.0,33.0,Andy Pelmard,100.0,3500000.0,1,2
FRA-Ligue 1,2324,Brest,Kenny Lala,MAD,DF,31.0,1991.0,2970.0,33.0,33.0,Kenny Lala,100.0,3000000.0,3,0
FRA-Ligue 1,2324,Brest,Brendan Chardonnet,FRA,DF,28.0,1994.0,2970.0,33.0,33.0,Brendan Chardonnet,100.0,8000000.0,1,1
FRA-Ligue 1,2324,Brest,Bradley Locko,FRA,DF,21.0,2002.0,2959.0,33.0,33.0,Bradley Locko,100.0,12000000.0,1,2
FRA-Ligue 1,2324,Toulouse,Rasmus Nicolaisen,DEN,DF,26.0,1997.0,2925.0,33.0,33.0,Rasmus Nicolaisen,100.0,6000000.0,3,1
FRA-Ligue 1,2324,Lorient,Laurent Abergel,FRA,MF,30.0,1993.0,2860.0,33.0,32.0,Laurent Abergel,100.0,3000000.0,1,1
FRA-Ligue 1,2324,Nice,Dante,BRA,DF,39.0,1983.0,2843.0,32.0,32.0,Dante,100.0,500000.0,1,1
FRA-Ligue 1,2324,Reims,Yunis Abdelhamid,MAR,DF,35.0,1987.0,2781.0,31.0,31.0,Yunis Abdelhamid,100.0,600000.0,3,1
FRA-Ligue 1,2324,Le Havre,Gautier Lloris,FRA,DF,28.0,1995.0,2778.0,31.0,31.0,Gautier Lloris,100.0,3000000.0,3,1
FRA-Ligue 1,2324,Montpellier,Téji Savanier,FRA,MF,31.0,1991.0,2765.0,32.0,32.0,Téji Savanier,100.0,9000000.0,0,0
FRA-Ligue 1,2324,Strasbourg,Lucas Perrin,FRA,DF,24.0,1998.0,2723.0,31.0,30.0,Lucas Perrin,100.0,3000000.0,1,2
FRA-Ligue 1,2324,Lens,Facundo Medina,ARG,DF,24.0,1999.0,2714.0,31.0,30.0,Facundo Medina,100.0,25000000.0,1,1
FRA-Ligue 1,2324,Reims,Junya Itō,JPN,"FW,MF",30.0,1993.0,2714.0,31.0,31.0,Junya Ito,100.0,8000000.0,0,0
FRA-Ligue 1,2324,Metz,Matthieu Udol,FRA,DF,27.0,1996.0,2700.0,30.0,30.0,Matthieu Udol,100.0,2500000.0,3,0
FRA-Ligue 1,2324,Monaco,Youssouf Fofana,FRA,MF,24.0,1999.0,2697.0,32.0,31.0,Youssouf Fofana,100.0,30000000.0,3,1
FRA-Ligue 1,2324,Le Havre,Arouna Sangante,SEN,DF,21.0,2002.0,2687.0,30.0,30.0,Arouna Sangante,100.0,10000000.0,1,2
FRA-Ligue 1,2324,Metz,Danley Jean-Jacques,HAI,MF,23.0,2000.0,2682.0,33.0,30.0,Danley Jean Jacques,100.0,2000000.0,1,2
FRA-Ligue 1,2324,Brest,Lilian Brassier,FRA,DF,23.0,1999.0,2677.0,30.0,30.0,Lilian Brassier,100.0,12000000.0,3,1
FRA-Ligue 1,2324,Lille,Leny Yoro,FRA,DF,17.0,2005.0,2673.0,32.0,30.0,Leny Yoro,100.0,50000000.0,3,1
FRA-Ligue 1,2324,Lens,Kevin Danso,AUT,DF,24.0,1998.0,2655.0,30.0,30.0,Kevin Danso,100.0,25000000.0,1,1
FRA-Ligue 1,2324,Nice,Melvin Bard,FRA,DF,22.0,2000.0,2654.0,32.0,31.0,Melvin Bard,100.0,12000000.0,1,0
FRA-Ligue 1,2324,Nice,Jean-Clair Todibo,FRA,DF,23.0,1999.0,2651.0,30.0,30.0,Jean-Clair Todibo,100.0,35000000.0,1,2
FRA-Ligue 1,2324,Toulouse,Logan Costa,CPV,DF,22.0,2001.0,2650.0,31.0,29.0,Logan Costa,100.0,12000000.0,1,1
FRA-Ligue 1,2324,Lille,Jonathan David,CAN,FW,23.0,2000.0,2629.0,34.0,30.0,Jonathan David,100.0,50000000.0,2,3
FRA-Ligue 1,2324,Marseille,Pierre-Emerick Aubameyang,GAB,FW,34.0,1989.0,2622.0,34.0,30.0,Pierre-Emerick Aubameyang,100.0,5000000.0,2,3
FRA-Ligue 1,2324,Lens,Florian Sotoca,FRA,"MF,FW",32.0,1990.0,2598.0,32.0,29.0,Florian Sotoca,100.0,3000000.0,0,0
FRA-Ligue 1,2324,Reims,Emmanuel Agbadou,CIV,DF,26.0,1997.0,2596.0,32.0,29.0,Emmanuel Agbadou,100.0,9000000.0,1,1
FRA-Ligue 1,2324,Nantes,Pedro Chirivella,ESP,MF,26.0,1997.0,2594.0,32.0,31.0,Pedro Chirivella,100.0,7000000.0,1,1
FRA-Ligue 1,2324,Montpellier,Joris Chotard,FRA,MF,21.0,2001.0,2587.0,31.0,30.0,Joris Chotard,100.0,10000000.0,1,2
FRA-Ligue 1,2324,Lille,Angel Gomes,ENG,MF,22.0,2000.0,2571.0,31.0,29.0,Angel Gomes,100.0,25000000.0,0,2
FRA-Ligue 1,2324,Lille,Benjamin André,FRA,MF,32.0,1990.0,2570.0,30.0,29.0,Benjamin André,100.0,8000000.0,3,1
FRA-Ligue 1,2324,Clermont Foot,Muhammed Cham,AUT,"MF,FW",22.0,2000.0,2554.0,33.0,29.0,Muhammed Cham,100.0,6000000.0,0,0
FRA-Ligue 1,2324,Brest,Pierre Lees-Melou,FRA,MF,30.0,1993.0,2517.0,29.0,29.0,Pierre Lees-Melou,100.0,10000000.0,1,1
FRA-Ligue 1,2324,Clermont Foot,Neto Borges,BRA,"MF,DF",26.0,1996.0,2516.0,28.0,28.0,Neto Borges,100.0,3000000.0,1,2
FRA-Ligue 1,2324,Toulouse,Thijs Dallinga,NED,FW,22.0,2000.0,2510.0,33.0,28.0,Thijs Dallinga,100.0,18000000.0,2,3
FRA-Ligue 1,2324,Brest,Romain Del Castillo,FRA,"MF,FW",27.0,1996.0,2497.0,33.0,30.0,Romain Del Castillo,100.0,10000000.0,0,0
FRA-Ligue 1,2324,Strasbourg,Frederic Guilbert,FRA,"DF,MF",28.0,1994.0,2490.0,32.0,29.0,Frédéric Guilbert,100.0,4000000.0,1,0
FRA-Ligue 1,2324,Lille,Ismaily,BRA,DF,33.0,1990.0,2465.0,30.0,28.0,Ismaily,100.0,1800000.0,3,1
FRA-Ligue 1,2324,Nantes,Jean-Charles Castelletto,CMR,DF,28.0,1995.0,2464.0,28.0,28.0,Jean-Charles Castelletto,100.0,3500000.0,3,1
FRA-Ligue 1,2324,Le Havre,Christopher Opéri,CIV,"DF,MF",26.0,1997.0,2445.0,28.0,28.0,Christopher Operi,100.0,4000000.0,0,0
FRA-Ligue 1,2324,Rennes,Benjamin Bourigeaud,FRA,MF,29.0,1994.0,2425.0,32.0,29.0,Benjamin Bourigeaud,100.0,18000000.0,0,0
FRA-Ligue 1,2324,Lyon,Jake O'Brien,IRL,DF,22.0,2001.0,2369.0,27.0,27.0,Jake O'Brien,100.0,12000000.0,3,1
FRA-Ligue 1,2324,Lille,Tiago Santos,POR,DF,21.0,2002.0,2365.0,29.0,26.0,Tiago Santos,100.0,15000000.0,0,0
FRA-Ligue 1,2324,Toulouse,Gabriel Suazo,CHI,"DF,MF",25.0,1997.0,2357.0,31.0,27.0,Gabriel Suazo,100.0,3500000.0,1,2
FRA-Ligue 1,2324,Brest,Hugo Magnetti,FRA,MF,25.0,1998.0,2340.0,33.0,30.0,Hugo Magnetti,100.0,7000000.0,1,1
FRA-Ligue 1,2324,Monaco,Wissam Ben Yedder,FRA,FW,32.0,1990.0,2316.0,32.0,26.0,Wissam Ben Yedder,100.0,8000000.0,2,3
FRA-Ligue 1,2324,Montpellier,Becir Omeragic,SUI,"DF,MF",21.0,2002.0,2312.0,28.0,26.0,Becir Omeragic,100.0,6000000.0,1,2
FRA-Ligue 1,2324,Strasbourg,Habib Diarra,SEN,"MF,FW",19.0,2004.0,2305.0,31.0,28.0,Habib Diarra,100.0,18000000.0,3,1
FRA-Ligue 1,2324,Rennes,Arthur Theate,BEL,DF,23.0,2000.0,2296.0,28.0,27.0,Arthur Theate,100.0,20000000.0,3,1
FRA-Ligue 1,2324,Lyon,Alexandre Lacazette,FRA,FW,32.0,1991.0,2293.0,29.0,27.0,Alexandre Lacazette,100.0,9000000.0,2,3
FRA-Ligue 1,2324,Lille,Edon Zhegrova,KVX,"MF,FW",24.0,1999.0,2288.0,33.0,25.0,Edon Zhegrova,100.0,25000000.0,0,0
FRA-Ligue 1,2324,Le Havre,Abdoulaye Touré,GUI,MF,29.0,1994.0,2284.0,30.0,27.0,Abdoulaye Touré,100.0,3000000.0,1,1
FRA-Ligue 1,2324,Marseille,Leonardo Balerdi,ARG,DF,24.0,1999.0,2271.0,27.0,26.0,Leonardo Balerdi,100.0,20000000.0,3,1
FRA-Ligue 1,2324,Toulouse,Vincent Sierro,SUI,MF,27.0,1995.0,2261.0,30.0,25.0,Vincent Sierro,100.0,4000000.0,0,0
FRA-Ligue 1,2324,Clermont Foot,Johan Gastien,FRA,MF,35.0,1988.0,2260.0,28.0,28.0,Johan Gastien,100.0,500000.0,1,2
FRA-Ligue 1,2324,Metz,Lamine Camara,SEN,MF,19.0,2004.0,2255.0,31.0,26.0,Lamine Camara,100.0,10000000.0,1,0
FRA-Ligue 1,2324,Montpellier,Akor Adams,NGA,FW,23.0,2000.0,2252.0,32.0,27.0,Akor Adams,100.0,10000000.0,2,3
FRA-Ligue 1,2324,Lorient,Julien Ponceau,FRA,MF,22.0,2000.0,2244.0,32.0,27.0,Julien Ponceau,100.0,3500000.0,0,0
FRA-Ligue 1,2324,Lyon,Clinton Mata,ANG,"DF,MF",30.0,1992.0,2220.0,28.0,25.0,Clinton Mata,100.0,4000000.0,1,2
FRA-Ligue 1,2324,Metz,Ismaël Traoré,CIV,DF,36.0,1986.0,2220.0,26.0,25.0,Ismaël Traoré,100.0,250000.0,3,1
FRA-Ligue 1,2324,Lille,Alexsandro Ribeiro,BRA,DF,23.0,1999.0,2220.0,29.0,24.0,Alexsandro,90.0,8000000.0,1,2
FRA-Ligue 1,2324,Marseille,Chancel Mbemba,COD,DF,28.0,1994.0,2207.0,25.0,25.0,Chancel Mbemba,100.0,15000000.0,3,1
FRA-Ligue 1,2324,Lorient,Montassar Talbi,TUN,DF,25.0,1998.0,2204.0,25.0,25.0,Montassar Talbi,100.0,7000000.0,1,2
FRA-Ligue 1,2324,Lens,Przemysław Frankowski,POL,MF,28.0,1995.0,2192.0,30.0,24.0,Przemyslaw Frankowski,95.23809523809524,9000000.0,1,0
FRA-Ligue 1,2324,Monaco,Wilfried Singo,CIV,DF,22.0,2000.0,2187.0,25.0,24.0,Wilfried Singo,100.0,25000000.0,1,1
FRA-Ligue 1,2324,Marseille,Jordan Veretout,FRA,MF,30.0,1993.0,2183.0,29.0,24.0,Jordan Veretout,100.0,15000000.0,0,0
FRA-Ligue 1,2324,Strasbourg,Dilane Bakwa,FRA,"MF,FW",20.0,2002.0,2177.0,31.0,25.0,Dilane Bakwa,100.0,10000000.0,0,0
FRA-Ligue 1,2324,Reims,Marshall Munetsi,ZIM,MF,27.0,1996.0,2173.0,27.0,25.0,Marshall Munetsi,100.0,10000000.0,3,0
FRA-Ligue 1,2324,PSG,Kylian Mbappé,FRA,FW,24.0,1998.0,2158.0,29.0,24.0,Kylian Mbappé,100.0,180000000.0,2,3
FRA-Ligue 1,2324,Monaco,Aleksandr Golovin,RUS,MF,27.0,1996.0,2147.0,25.0,25.0,Aleksandr Golovin,100.0,30000000.0,0,0
FRA-Ligue 1,2324,Rennes,Adrien Truffert,FRA,"DF,MF",21.0,2001.0,2145.0,30.0,24.0,Adrien Truffert,100.0,18000000.0,1,0
FRA-Ligue 1,2324,Rennes,Arnaud Kalimuendo,FRA,FW,21.0,2002.0,2139.0,30.0,25.0,Arnaud Kalimuendo,100.0,20000000.0,2,3
FRA-Ligue 1,2324,Strasbourg,Marvin Senaya,GHA,"DF,MF",22.0,2001.0,2138.0,32.0,23.0,Marvin Senaya,100.0,2000000.0,1,0
FRA-Ligue 1,2324,Monaco,Denis Zakaria,SUI,"MF,DF",26.0,1996.0,2137.0,25.0,24.0,Denis Zakaria,100.0,25000000.0,3,1
FRA-Ligue 1,2324,PSG,Vitinha,POR,MF,23.0,2000.0,3334.0,55.0,35.0,Vitinha,100.0,50000000.0,2,0
