PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
-0.6758648342299153,-1.0373361931208662,-1.833460502038338,0.13779681730442256,-0.4331071376642481,-0.8711682902834887,0.449708994962814,-0.1358088626137837,-0.664428789335945
-1.1265876643650041,0.2102843576400461,2.095556084334404,-1.4372474993811803,-0.04323758048004965,1.3080234304412026,-0.00517580735516943,-0.9829198587833965,-0.5764277707547316
-1.5928403794687331,-1.4440186024858301,-0.05914691486653112,-1.1558568122791961,0.18708665551249226,-1.1773451226226483,1.134562413280605,-0.5477480631897392,-0.26589011891009234
0.06804763565136245,-0.8375444419800058,-0.4594624541634626,-1.2005737791323559,0.8820425724591284,-0.4748541749817213,-0.22235537432541164,0.07579142463525726,-0.3396885034365973
-0.037705841344192824,2.4441235114546065,0.05982618394255725,-1.3168241039927815,-0.6419992831875545,0.18965954213209715,0.10306512634809518,-0.2629137310302511,-0.36584013112379515
-3.6499923441046795,0.24235284854947625,-0.9844689153945206,0.2630416268465967,0.9004726212911787,-1.4490945358947687,-1.1426531653724605,-0.40690964407273894,0.5321992592742064
-2.516151005870493,1.6272355290300955,-2.2654529431127024,-0.301790898695476,0.7664177290362655,-0.34671973324141825,-1.3184617856517458,-0.05483583751293953,-0.12634386663856698
-1.8049119944571994,-0.260429852125571,2.082910528297438,2.1996438817863977,0.9222137870069638,1.1677167743004049,-0.353956355987874,0.3235021168597494,-0.5688721774511776
-3.244821849526233,-0.3365604714441423,-1.5319482112247211,0.12794640950620417,0.6000002407740552,-0.874196626487861,0.13798872962191802,0.07621586123683269,-0.04455685563321814
-0.04759692843551908,1.1606699618197278,-1.2017706922611087,-1.0199254032030902,-0.8587973635063585,0.004888304692659599,-1.405157496929041,0.4343530281327866,0.5239863905366324
-0.5646653071315352,1.9819098423151358,-0.619389026392272,-1.147882433584225,0.6704807788615668,0.6908190217778366,1.3856445654158644,-0.3167209821009742,-0.48753479888156503
2.030035010303817,2.489350762705397,-0.6344685550630051,-1.7613880200577738,-0.1638408243872798,-0.043529558130647336,0.29445102533969886,0.511358172577786,0.43149697285333494
-2.5458992076011353,-0.8120664901858107,-0.2978938511866515,-0.101149857077521,0.3504668542063493,-0.9355258232985246,0.7939654322411096,0.012550081466395684,-0.11641481662779508
4.548352226953605,-1.3109346106845459,-1.114148537054572,0.33701197703350066,3.1912295045506203,0.7973387994454262,-0.14151166387288797,0.20511622082477865,0.3281433577481148
3.8164790681878458,1.5130089204827883,0.7183363948144126,-1.3446519250747528,0.7607078218435485,0.30483803883009114,0.04675967570240963,0.5620657999057646,1.5203576488858837
-1.6687917062092494,-0.6615025033596929,-2.1053661115916413,-0.9053941526221001,-0.33544937555861687,-0.3709362095613665,0.47879616847785306,0.6744302072917159,-0.13529593624733754
-2.3047326498125624,-1.1460971462090646,-0.9434382516721517,0.3523965296141521,-0.04515977651663388,1.0049234392590662,-0.890813745615982,0.6219175494550213,-0.42552569674400703
-0.526041565637327,0.5667252807249796,0.24088713111208707,-0.26103857823880694,-0.6756768252120029,-2.36868843019193,0.559424587737518,0.3649368928568091,0.054826692858005906
