kmeans_label,goals_p90,assists_p90,goals_assists_p90,non_penalty_goals_p90,np_goals_assists_p90,shots_p90,shots_on_target_p90,interceptions_p90,tackles_won_p90,fouls_committed_p90,fouls_drawn_p90,crosses_p90,offsides_p90,goals_per_shot,shots_on_target_pct,attacking_index,creativity_index,defensive_index,discipline_index,cluster_size
0,0.1579160683546133,0.17442533994823964,0.33234140830285297,0.14341820841094047,0.31784354835918016,1.7634350814447393,0.602807611678946,0.5537502239352637,0.8809619203064432,1.0876333711916382,1.4800860357663685,3.7077072237611004,0.23268774008729934,0.09170065253090501,33.98545851295327,1.2140589490252225,1.2867375070765696,1.4347121442417068,0.3924526645747305,720
1,0.01678171471342369,0.05514089969188912,0.07192261440531282,0.016368344224587886,0.07150924391647702,0.6756807103313466,0.17041766941175726,1.0551105081041205,1.2302543229445297,1.2245405936141356,0.9238419324801369,1.2722853253854383,0.05822531276878269,0.01830103251077531,24.216983160165974,0.40976296957098607,0.4368264973075206,2.2853648310486503,-0.3006986611339986,1107
2,0.4527208515342235,0.16192146801023904,0.6146423195444626,0.4085353696720318,0.5704568376822708,2.7658523270772046,1.1635269860226434,0.2866334735456894,0.5263690329674735,1.282214071120306,1.4488217709913283,1.337491978674859,0.5271859840533638,0.1673528155760359,42.30202351246629,1.9975684830830651,0.5631690616126968,0.8130025065131629,0.1666076998710224,458
3,0.10869987956804279,0.051195408327626556,0.1598952878956694,0.10338105861365485,0.15457646694128144,0.7503776773899555,0.25026723743198076,1.0040362187266747,1.0793112853503062,1.1377846288099245,0.8661143301017136,0.8845324086567646,0.07030024230839864,0.16265681789380837,34.40060643429568,0.5350841265906471,0.31655513092465587,2.083347504076981,-0.271670298708211,670
