goals_p90,assists_p90,goals_assists_p90,non_penalty_goals_p90,np_goals_assists_p90,shots_p90,shots_on_target_p90,shots_on_target_pct,goals_per_shot,goals_per_shot_on_target,interceptions_p90,tackles_won_p90,fouls_committed_p90,fouls_drawn_p90,crosses_p90,offsides_p90,attacking_index,creativity_index,defensive_index,discipline_index
-0.34171346971034194,-0.7238365120618485,-0.5740256982103494,-0.30258894639036993,-0.5624484809431131,0.480020642293783,0.2894508747581394,0.07844224740308217,-0.5241373247957464,-0.5391630690521055,-0.3876589854014183,-0.6346121085508504,-0.9314296455087148,-1.1742226726377276,-0.8577781007380276,-0.38481007122355654,0.14053236793206755,-0.9004771013799074,-0.5935500203475842,-0.4167053233706314
0.29955643894532835,-0.7218003766735013,-0.09355613105683946,-0.8286260488963232,-0.9434800289627805,-0.34975450878561126,-0.29052330177264374,0.18015557638631408,1.2547362826381876,1.3475823434667342,0.913309044921416,1.0572174166973356,0.4092149097860181,-0.05659955195484009,1.1420408645341025,-0.6031253154281323,-0.27806185549552215,0.9265004602717992,1.142927424227858,-0.344412483162074
-0.17147432980741797,-0.9927692741547857,-0.5650380213905007,-0.11392449094336544,-0.5527767189649416,-0.3676395112814738,-0.08259889151075109,0.8589696650016805,0.29803114922834045,-0.008834628776539913,0.883891188578131,0.331467250028418,-1.2820467893047318,-1.1641176031978846,-0.8561517318378339,-0.6018742053716395,-0.4524652957675553,-0.9424528290660616,0.7026092859781624,-0.15698356434638164
0.16724509158369275,-0.43547291820137424,-0.06652614895795808,0.2614551968447584,-0.016321273347206334,-0.0815346709704862,-0.13331587189644536,0.060880749446146486,0.5523049388389308,0.6846717931222767,-0.15826306816757377,-0.16345595565293533,-1.045980404414207,-0.13708423960674548,-0.5736716966861624,-0.5999965135525287,-0.08016968207019308,-0.5943709302805287,-0.186534636255692,0.6207297651431011
-0.32272100025849576,0.6853913375673834,0.06021317975779082,-0.28154088477087574,0.1200646520907078,-0.19683750108312373,-0.2651806214788841,-0.06262868673450057,-0.175064795864441,-0.08022499573671196,0.4532529728783594,-0.3355223528231937,-0.7117203960314246,-0.17376977489859444,1.8475487393631946,-0.5995706399260897,-0.1177510151408554,1.7983274779936007,0.06540959905767169,0.3481989473600551
-0.8163768273389059,-0.711227644361456,-0.9234550129113791,-0.8286260488963232,-0.938474146721427,-1.2774025920969843,-1.0776226635176631,-2.18699098904163,-1.0686904699285833,-1.1510805001392965,0.8944033958242739,0.45905997698594087,-1.0329121514107722,-0.24934948047567934,-0.8687062727633347,-0.3693982176259116,-1.2152384723092424,-0.9084212953513955,0.7830975381401465,0.5079548376421437
-0.8163768273389059,-0.42395853068167494,-0.7970616775436323,-0.8286260488963232,-0.8024605494585222,-1.2459419232741242,-1.0776226635176631,-2.18699098904163,-1.0686904699285833,-1.1510805001392965,0.1820664178171759,-0.9743343454629765,-1.0758265474576245,0.19836476600091432,0.35480581177881854,-0.7135273244672904,-1.1497331036745724,0.25556766285118127,-0.46348582222546936,0.9511297504983004
-0.3124824460912252,-0.7072749220542108,-0.544878470048649,-0.6424820965417919,-0.801429348193884,0.10335068634821806,-0.24833035576971976,-0.4609466184170874,-0.34261960975146744,-0.08022499573671196,0.12755702501834207,1.8386168626709618,2.404741007905432,1.3789469918519173,-0.3978985818387159,-0.5972071477451142,-0.11434125542620067,-0.47774350065810123,1.1460554751042518,-0.4469005942430115
-0.8163768273389059,-0.9927692741547857,-1.0473283565459366,-0.8286260488963232,-1.071775946406504,-1.0869050338241542,-0.936755341431915,-0.6527293262642588,-1.0686904699285833,-1.1510805001392965,0.352156849609359,-0.014256045619412303,-0.876043421936645,-0.5105677268034053,-0.9279805297138699,-0.7135273244672904,-1.1237958164249309,-1.0080617510871932,0.1945759072625037,0.15523174154141264
-0.4691461785195939,1.0729217206942978,0.12121563244998135,-0.44381394686525344,0.18571022595252623,-0.2907575696753992,-0.720459886956255,-1.1716707710271934,-0.3853296603501214,0.5622883069048389,-0.1934462697090052,-1.0571020623818896,-0.7398884544497468,-0.5385258402808385,0.5759140710747744,0.007872610586734854,-0.16285863313164903,0.699434957591045,-0.7281172035907635,0.032229104644818596
-0.4652082725623366,-0.3958784806369717,-0.5220855465784585,-0.43944983363341317,-0.5065549732254826,-0.47081402371559794,-0.1384680270303743,1.0185199849753779,-0.23889520115473697,-0.4920924974300139,-0.4991720408084681,0.2953814324054211,-1.0737774043256132,0.29239430177567344,1.4327136434887353,-0.5919304486009461,-0.5102760113767065,1.244674066969522,-0.11528185446620791,1.0363053863966976
0.06271746726710177,1.6968278184800936,0.7934775235438257,-0.049233735363788785,0.7676464157141648,0.011712996064629905,0.1521434123060658,0.5425675505506699,0.2821390373776781,0.10874950504021452,-0.4328217185397728,-0.8517558013501425,-1.3655521161615458,0.20409041760654562,1.546922782053655,0.01702865518661883,0.2805816600990723,1.6871882857061178,-0.7462418007139128,1.1633275101074816
-0.6404404424424898,-0.6937253906376725,-0.7841803043596902,-0.6336477244714896,-0.7885987275567878,-0.661674660794865,-0.49852237553146567,0.32361900459406856,-0.5406389352543178,-0.6156527479380042,1.2516257085751301,-0.0834704164783754,-0.42535619465843605,-0.5229129682506475,-0.8958067173121069,-0.7135273244672904,-0.7344496644033273,-0.9303465525208788,0.6724208989156291,-0.1780242158978494
1.4830928053664052,-0.391465981491343,0.9368928434068091,1.7197196859250234,1.0634716312103079,0.7625591851918992,1.0329021091632165,0.8466627532681721,1.2195328469932356,0.7690741974101655,-1.3364121278486512,-1.615581717759899,0.11609528815435946,2.6410445883784295,-0.8317186003654514,1.3689008930744144,0.8578080634184895,-0.8229609572720619,-1.7124187995381168,2.350552182399593
0.775563687610925,2.013747189162429,1.466018496727542,0.9356133059799939,1.6328709852414582,0.08462387450219935,0.3779116624691503,0.8815323365131122,1.2547362826381876,0.7764594077853557,-0.42499390673519144,-0.4582462958313511,-0.5333307760706671,1.3139394890204377,1.0034544421616114,1.246405115571961,0.5626892363115331,1.2419967447360973,-0.5121765156401171,1.591573391899398
