league,season,club,name,position,age,market_value_eur,contract_expiry
FR1,2024,AJ Auxerre,Ado Onaiwu,Centre-Forward,29,1500000.0,28/08/2023
FR1,2024,AJ Auxerre,Alvin Petit Dol,Centre-Back,18,,
FR1,2024,AJ Auxerre,Ange Loïc N'Gatta,Right-Back,21,100000.0,01/07/2023
FR1,2024,AJ Auxerre,Aristide Zossou,Left Winger,20,100000.0,01/07/2025
FR1,2024,AJ Auxerre,Assane Dioussé,Defensive Midfield,27,700000.0,10/08/2023
FR1,2024,AJ Auxerre,Ben Viadere,Attacking Midfield,19,,
FR1,2024,AJ Auxerre,Clément Akpa,Centre-Back,23,5000000.0,01/07/2022
FR1,2024,AJ Auxerre,Donovan Léon,Goalkeeper,32,1000000.0,01/07/2020
FR1,2024,AJ Auxerre,Elisha Owusu,Defensive Midfield,27,3000000.0,16/01/2023
FR1,2024,AJ Auxerre,Eros Maddy,Right Winger,24,150000.0,25/07/2023
FR1,2024,AJ Auxerre,Florian Ayé,Centre-Forward,28,1200000.0,31/07/2023
FR1,2024,AJ Auxerre,Fredrik Oppegård,Left-Back,22,600000.0,29/01/2025
FR1,2024,AJ Auxerre,Gabriel Osho,Centre-Back,26,3000000.0,11/07/2024
FR1,2024,AJ Auxerre,Gaëtan Perrin,Right Winger,29,8000000.0,01/07/2021
FR1,2024,AJ Auxerre,Gideon Mensah,Left-Back,26,4000000.0,13/08/2022
FR1,2024,AJ Auxerre,Hamed Traoré,Left Winger,25,20000000.0,27/08/2024
FR1,2024,AJ Auxerre,Han-Noah Massengo,Central Midfield,23,5000000.0,07/01/2025
FR1,2024,AJ Auxerre,Jubal,Centre-Back,31,2500000.0,03/09/2020
FR1,2024,AJ Auxerre,Ki-Jana Hoever,Right-Back,23,5000000.0,21/08/2024
FR1,2024,AJ Auxerre,Kévin Danois,Central Midfield,21,8000000.0,01/07/2022
FR1,2024,AJ Auxerre,Lassine Sinayoko,Centre-Forward,25,4000000.0,01/07/2019
FR1,2024,AJ Auxerre,Lasso Coulibaly,Right Winger,22,1200000.0,01/07/2024
FR1,2024,AJ Auxerre,Madiou Keita,Centre-Back,20,150000.0,
FR1,2024,AJ Auxerre,Marvyn Muzungu,Centre-Back,17,,
FR1,2024,AJ Auxerre,Nathan Buayi-Kiala,Defensive Midfield,21,100000.0,01/07/2024
FR1,2024,AJ Auxerre,Neil Glossoa,Right-Back,20,,
FR1,2024,AJ Auxerre,Paul Joly,Right-Back,25,1800000.0,01/07/2021
FR1,2024,AJ Auxerre,Raphaël Adiceam,Goalkeeper,34,50000.0,21/09/2023
FR1,2024,AJ Auxerre,Rayan Raveloson,Defensive Midfield,28,2000000.0,04/08/2022
FR1,2024,AJ Auxerre,Rudy Matondo,Central Midfield,17,300000.0,01/07/2025
FR1,2024,AJ Auxerre,Saad Agouzoul,Centre-Back,27,500000.0,06/07/2023
FR1,2024,AJ Auxerre,Sinaly Diomandé,Centre-Back,24,5000000.0,30/08/2024
FR1,2024,AJ Auxerre,Telli Siwe,Centre-Back,20,,01/07/2025
FR1,2024,AJ Auxerre,Theo Bair,Centre-Forward,25,1800000.0,16/07/2024
FR1,2024,AJ Auxerre,Théo De Percin,Goalkeeper,24,300000.0,17/03/2021
FR1,2024,AJ Auxerre,Théo Pellenard,Centre-Back,31,700000.0,01/07/2021
FR1,2024,AJ Auxerre,Tom Negrel,Goalkeeper,22,50000.0,10/07/2024
FR1,2024,AJ Auxerre,Victor Mayela,Centre-Back,21,100000.0,01/07/2024
FR1,2024,AJ Auxerre,Yoann Cissé,Left Midfield,20,,
FR1,2024,AS Monaco,Aladji Bamba,Defensive Midfield,18,,01/07/2025
FR1,2024,AS Monaco,Aleksandr Golovin,Attacking Midfield,29,20000000.0,27/07/2018
FR1,2024,AS Monaco,Bradel Kiwa,Centre-Back,19,,
FR1,2024,AS Monaco,Breel Embolo,Centre-Forward,28,12000000.0,15/07/2022
