league,season,club,name,position,age,market_value_eur,contract_expiry
L1,2024,Bayern Munich,Jonas Urbig,Goalkeeper,21,12000000.0,27/01/2025
L1,2024,Bayern Munich,Manuel Neuer,Goalkeeper,39,4000000.0,01/07/2011
L1,2024,Bayern Munich,Daniel Peretz,Goalkeeper,24,3000000.0,25/08/2023
L1,2024,Bayern Munich,Max Schmitt,Goalkeeper,19,700000.0,
L1,2024,Bayern Munich,Sven Ulreich,Goalkeeper,36,500000.0,01/07/2021
L1,2024,Bayern Munich,Anthony Pavlesic,Goalkeeper,19,150000.0,
L1,2024,Bayern Munich,Leon Klanac,Goalkeeper,18,,
L1,2024,Bayern Munich,Dayot Upamecano,Centre-Back,26,50000000.0,05/07/2021
L1,2024,Bayern Munich,Min-jae Kim,Centre-Back,28,40000000.0,18/07/2023
L1,2024,Bayern Munich,Jonathan Tah,Centre-Back,29,30000000.0,09/06/2025
L1,2024,Bayern Munich,Hiroki Ito,Centre-Back,26,25000000.0,01/07/2024
L1,2024,Bayern Munich,Eric Dier,Centre-Back,31,8000000.0,01/07/2024
L1,2024,Bayern Munich,Tarek Buchmann,Centre-Back,20,500000.0,01/07/2023
L1,2024,Bayern Munich,Cassiano Kiala,Centre-Back,16,,
L1,2024,Bayern Munich,Alphonso Davies,Left-Back,24,50000000.0,01/01/2019
L1,2024,Bayern Munich,Raphaël Guerreiro,Left-Back,31,8000000.0,01/07/2023
L1,2024,Bayern Munich,Adam Aznou,Left-Back,19,4000000.0,01/07/2024
L1,2024,Bayern Munich,Josip Stanisic,Right-Back,25,32000000.0,01/08/2021
L1,2024,Bayern Munich,Konrad Laimer,Right-Back,28,25000000.0,01/07/2023
L1,2024,Bayern Munich,Sacha Boey,Right-Back,24,18000000.0,28/01/2024
L1,2024,Bayern Munich,Aleksandar Pavlovic,Defensive Midfield,21,55000000.0,01/11/2023
L1,2024,Bayern Munich,Joshua Kimmich,Defensive Midfield,30,45000000.0,02/07/2015
L1,2024,Bayern Munich,João Palhinha,Defensive Midfield,29,30000000.0,11/07/2024
L1,2024,Bayern Munich,Noël Aséko,Defensive Midfield,19,700000.0,02/07/2026
L1,2024,Bayern Munich,David Santos Daiber,Defensive Midfield,18,,
L1,2024,Bayern Munich,Tom Bischof,Central Midfield,20,30000000.0,09/06/2025
L1,2024,Bayern Munich,Leon Goretzka,Central Midfield,30,22000000.0,01/07/2018
L1,2024,Bayern Munich,Nestory Irankunda,Right Midfield,19,4000000.0,
L1,2024,Bayern Munich,Jamal Musiala,Attacking Midfield,22,140000000.0,01/07/2020
L1,2024,Bayern Munich,Jonathan Asp Jensen,Attacking Midfield,19,1500000.0,
L1,2024,Bayern Munich,Lennart Karl,Attacking Midfield,17,1500000.0,01/06/2025
L1,2024,Bayern Munich,Mathys Tel,Left Winger,20,35000000.0,26/07/2022
L1,2024,Bayern Munich,Kingsley Coman,Left Winger,29,30000000.0,01/07/2017
L1,2024,Bayern Munich,Arijon Ibrahimovic,Left Winger,19,4000000.0,17/01/2023
L1,2024,Bayern Munich,Maurice Krattenmacher,Left Winger,19,3500000.0,01/07/2024
L1,2024,Bayern Munich,Gabriel Vidovic,Left Winger,21,3000000.0,01/07/2022
L1,2024,Bayern Munich,Wisdom Mike,Left Winger,16,,
L1,2024,Bayern Munich,Michael Olise,Right Winger,23,100000000.0,07/07/2024
L1,2024,Bayern Munich,Leroy Sané,Right Winger,29,32000000.0,15/07/2020
L1,2024,Bayern Munich,Serge Gnabry,Second Striker,29,22000000.0,01/07/2017
L1,2024,Bayern Munich,Thomas Müller,Second Striker,35,6000000.0,01/07/2009
L1,2024,Bayern Munich,Harry Kane,Centre-Forward,31,75000000.0,12/08/2023
L1,2024,Bayern Munich,Jonah Kusi-Asare,Centre-Forward,17,2500000.0,01/07/2025
L1,2024,Bayer 04 Leverkusen,Matej Kovar,Goalkeeper,25,5000000.0,15/08/2023
L1,2024,Bayer 04 Leverkusen,Lukas Hradecky,Goalkeeper,35,2000000.0,01/07/2018
L1,2024,Bayer 04 Leverkusen,Niklas Lomb,Goalkeeper,31,250000.0,01/07/2012
L1,2024,Bayer 04 Leverkusen,Simeon Rapsch,Goalkeeper,17,,
L1,2024,Bayer 04 Leverkusen,Luca Novodomsky,Goalkeeper,20,,01/07/2024
