league,season,club,name,position,age,market_value_eur,contract_expiry
ES1,2023,Real Madrid,Thibaut Courtois,Goalkeeper,32,28000000.0,09/08/2018
ES1,2023,Real Madrid,Andriy Lunin,Goalkeeper,25,25000000.0,01/07/2018
ES1,2023,Real Madrid,Kepa Arrizabalaga,Goalkeeper,29,12000000.0,14/08/2023
ES1,2023,Real Madrid,Lucas Cañizares,Goalkeeper,22,400000.0,
ES1,2023,Real Madrid,Mario de Luis,Goalkeeper,22,400000.0,
ES1,2023,Real Madrid,Diego Piñeiro,Goalkeeper,20,50000.0,
ES1,2023,Real Madrid,Fran González,Goalkeeper,19,,01/07/2026
ES1,2023,Real Madrid,Éder Militão,Centre-Back,26,60000000.0,01/07/2019
ES1,2023,Real Madrid,Antonio Rüdiger,Centre-Back,31,25000000.0,01/07/2022
ES1,2023,Real Madrid,David Alaba,Centre-Back,32,20000000.0,01/07/2021
ES1,2023,Real Madrid,Nacho Fernández,Centre-Back,34,3000000.0,01/09/2012
ES1,2023,Real Madrid,Álvaro Carrillo,Centre-Back,22,300000.0,
ES1,2023,Real Madrid,Edgar Pujol,Centre-Back,19,250000.0,
ES1,2023,Real Madrid,Jacobo Ramón,Centre-Back,19,100000.0,
ES1,2023,Real Madrid,Ferland Mendy,Left-Back,29,22000000.0,01/07/2019
ES1,2023,Real Madrid,Fran García,Left-Back,24,15000000.0,01/07/2023
ES1,2023,Real Madrid,Daniel Carvajal,Right-Back,32,12000000.0,01/07/2013
ES1,2023,Real Madrid,Lucas Vázquez,Right-Back,32,4000000.0,02/07/2015
ES1,2023,Real Madrid,Vinícius Tobias,Right-Back,20,3000000.0,
ES1,2023,Real Madrid,Álvaro Odriozola,Right-Back,28,2500000.0,05/07/2018
ES1,2023,Real Madrid,Aurélien Tchouaméni,Defensive Midfield,24,100000000.0,01/07/2022
ES1,2023,Real Madrid,Mario Martín,Defensive Midfield,20,300000.0,01/07/2024
ES1,2023,Real Madrid,Federico Valverde,Central Midfield,25,120000000.0,01/07/2018
ES1,2023,Real Madrid,Eduardo Camavinga,Central Midfield,21,100000000.0,31/08/2021
