league,season,team,player,nation,pos,age,born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_PK,Standard_PKatt
ENG-Premier League,2324,Aston Villa,Ollie Watkins,ENG,FW,27,1995,35.7,19,106,46,43.4,2.97,1.29,0.18,0.41,0,0
ENG-Premier League,2324,Aston Villa,Omari Kellyman,ENG,"FW,MF",17,2005,0.4,0,1,0,0.0,2.43,0.0,0.0,,0,0
ENG-Premier League,2324,Aston Villa,Pau Torres,ESP,DF,26,1997,27.4,2,12,5,41.7,0.44,0.18,0.17,0.4,0,0
ENG-Premier League,2324,Aston Villa,Philippe Coutinho,BRA,"FW,MF",31,1992,0.3,0,3,1,33.3,10.8,3.6,0.0,0.0,0,0
ENG-Premier League,2324,Aston Villa,Robin Olsen,SWE,GK,33,1990,4.5,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Aston Villa,Tim Iroegbunam,ENG,MF,20,2003,1.8,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Aston Villa,Tyrone Mings,ENG,DF,30,1993,0.3,0,1,0,0.0,3.0,0.0,0.0,,0,0
ENG-Premier League,2324,Aston Villa,Youri Tielemans,BEL,"MF,FW",26,1997,18.0,2,14,6,42.9,0.78,0.33,0.14,0.33,0,0
ENG-Premier League,2324,Aston Villa,Álex Moreno,ESP,DF,30,1993,11.5,2,8,4,50.0,0.7,0.35,0.25,0.5,0,0
ENG-Premier League,2324,Bournemouth,Adam Smith,ENG,DF,32,1991,23.9,0,2,0,0.0,0.08,0.0,0.0,,0,0
ENG-Premier League,2324,Bournemouth,Alex Scott,ENG,MF,19,2003,11.3,1,15,4,26.7,1.33,0.36,0.07,0.25,0,0
ENG-Premier League,2324,Bournemouth,Antoine Semenyo,GHA,MF,23,2000,23.4,8,70,31,44.3,2.99,1.33,0.11,0.26,0,0
ENG-Premier League,2324,Bournemouth,Chris Mepham,WAL,DF,25,1997,6.9,0,1,1,100.0,0.15,0.15,0.0,0.0,0,0
ENG-Premier League,2324,Bournemouth,Dango Ouattara,BFA,"DF,MF",21,2002,13.7,1,30,7,23.3,2.2,0.51,0.03,0.14,0,0
ENG-Premier League,2324,Bournemouth,David Brooks,WAL,MF,26,1997,3.1,1,13,5,38.5,4.15,1.6,0.08,0.2,0,0
ENG-Premier League,2324,Bournemouth,Dominic Sadi,ENG,MF,19,2003,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Bournemouth,Dominic Solanke,ENG,FW,25,1997,36.9,19,109,38,34.9,2.95,1.03,0.16,0.45,2,3
ENG-Premier League,2324,Bournemouth,Enes Ünal,TUR,FW,26,1997,3.6,2,23,11,47.8,6.31,3.02,0.09,0.18,0,0
ENG-Premier League,2324,Bournemouth,Hamed Junior Traorè,CIV,MF,23,2000,0.5,0,3,2,66.7,5.74,3.83,0.0,0.0,0,0
ENG-Premier League,2324,Bournemouth,Illia Zabarnyi,UKR,DF,20,2002,37.0,1,8,3,37.5,0.22,0.08,0.13,0.33,0,0
ENG-Premier League,2324,Bournemouth,Ionuț Radu,ROU,GK,26,1997,2.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Bournemouth,Jaidon Anthony,ENG,MF,23,1999,1.7,0,2,1,50.0,1.18,0.59,0.0,0.0,0,0
ENG-Premier League,2324,Bournemouth,James Hill,ENG,DF,21,2002,0.8,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Bournemouth,Joe Rothwell,ENG,MF,28,1995,4.3,0,2,0,0.0,0.47,0.0,0.0,,0,0
ENG-Premier League,2324,Bournemouth,Justin Kluivert,NED,MF,24,1999,21.3,7,56,20,35.7,2.63,0.94,0.13,0.35,0,0
ENG-Premier League,2324,Bournemouth,Kieffer Moore,WAL,"DF,FW",30,1992,1.2,1,6,2,33.3,5.0,1.67,0.17,0.5,0,0
ENG-Premier League,2324,Bournemouth,Lewis Cook,ENG,MF,26,1997,31.0,0,12,4,33.3,0.39,0.13,0.0,0.0,0,0
ENG-Premier League,2324,Bournemouth,Lloyd Kelly,ENG,DF,24,1998,17.3,0,4,1,25.0,0.23,0.06,0.0,0.0,0,0
ENG-Premier League,2324,Bournemouth,Luis Sinisterra,COL,MF,24,1999,7.8,2,27,9,33.3,3.48,1.16,0.07,0.22,0,0
ENG-Premier League,2324,Bournemouth,Marcos Senesi,ARG,DF,26,1997,24.9,4,13,4,30.8,0.52,0.16,0.31,1.0,0,0
ENG-Premier League,2324,Bournemouth,Marcus Tavernier,ENG,MF,24,1999,23.5,3,53,16,30.2,2.25,0.68,0.06,0.19,0,0
ENG-Premier League,2324,Bournemouth,Mark Travers,IRL,GK,24,1999,4.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Bournemouth,Max Aarons,ENG,DF,23,2000,13.7,0,2,0,0.0,0.15,0.0,0.0,,0,0
ENG-Premier League,2324,Bournemouth,Milos Kerkez,HUN,DF,19,2003,21.9,0,16,5,31.3,0.73,0.23,0.0,0.0,0,0
ENG-Premier League,2324,Bournemouth,Neto,BRA,GK,34,1989,32.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Bournemouth,Philip Billing,DEN,MF,27,1996,15.5,2,30,8,26.7,1.93,0.52,0.07,0.25,0,0
ENG-Premier League,2324,Bournemouth,Romain Faivre,FRA,MF,25,1998,0.5,0,2,0,0.0,4.39,0.0,0.0,,0,0
ENG-Premier League,2324,Bournemouth,Ryan Christie,SCO,MF,28,1995,32.3,0,43,13,30.2,1.33,0.4,0.0,0.0,0,0
ENG-Premier League,2324,Bournemouth,Tyler Adams,USA,MF,24,1999,1.3,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Brentford,Aaron Hickey,SCO,"DF,MF",21,2002,7.9,0,7,1,14.3,0.88,0.13,0.0,0.0,0,0
ENG-Premier League,2324,Brentford,Ben Mee,ENG,DF,33,1989,14.1,2,10,2,20.0,0.71,0.14,0.2,1.0,0,0
ENG-Premier League,2324,Brentford,Bryan Mbeumo,CMR,FW,23,1999,21.8,9,53,20,37.7,2.43,0.92,0.11,0.3,3,3
ENG-Premier League,2324,Brentford,Christian Nørgaard,DEN,MF,29,1994,27.8,2,35,7,20.0,1.26,0.25,0.06,0.29,0,0
ENG-Premier League,2324,Brentford,Ethan Pinnock,JAM,DF,30,1993,28.0,2,19,4,21.1,0.68,0.14,0.11,0.5,0,0
ENG-Premier League,2324,Brentford,Frank Onyeka,NGA,MF,25,1998,12.9,1,22,9,40.9,1.71,0.7,0.05,0.11,0,0
ENG-Premier League,2324,Brentford,Ivan Toney,ENG,FW,27,1996,16.1,4,51,22,43.1,3.17,1.37,0.08,0.18,0,0
ENG-Premier League,2324,Brentford,Josh Dasilva,ENG,MF,24,1998,0.3,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Brentford,Keane Lewis-Potter,ENG,"FW,MF",22,2001,16.0,3,43,22,51.2,2.69,1.37,0.07,0.14,0,0
ENG-Premier League,2324,Brentford,Kevin Schade,GER,FW,21,2001,3.7,2,8,4,50.0,2.16,1.08,0.25,0.5,0,0
ENG-Premier League,2324,Brentford,Kristoffer Ajer,NOR,DF,25,1998,20.4,2,12,4,33.3,0.59,0.2,0.17,0.5,0,0
ENG-Premier League,2324,Brentford,Mads Roerslev,DEN,"MF,DF",24,1999,22.1,1,7,1,14.3,0.32,0.05,0.14,1.0,0,0
ENG-Premier League,2324,Brentford,Mark Flekken,NED,GK,30,1993,36.5,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Brentford,Mathias Jensen,DEN,MF,27,1996,24.5,3,14,7,50.0,0.57,0.29,0.21,0.43,0,0
ENG-Premier League,2324,Brentford,Mathias Jørgensen,DEN,DF,33,1990,12.1,1,8,2,25.0,0.66,0.17,0.13,0.5,0,0
ENG-Premier League,2324,Brentford,Michael Olakigbe,ENG,MF,19,2004,0.7,0,3,1,33.3,4.58,1.53,0.0,0.0,0,0
ENG-Premier League,2324,Brentford,Mikkel Damsgaard,DEN,MF,23,2000,9.4,0,9,4,44.4,0.96,0.43,0.0,0.0,0,0
ENG-Premier League,2324,Brentford,Myles Peart-Harris,ENG,MF,20,2002,0.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Brentford,Nathan Collins,IRL,DF,22,2001,29.5,1,10,2,20.0,0.34,0.07,0.1,0.5,0,0
ENG-Premier League,2324,Brentford,Neal Maupay,FRA,FW,26,1996,14.7,6,37,16,43.2,2.52,1.09,0.16,0.38,0,0
ENG-Premier League,2324,Brentford,Rico Henry,JAM,DF,26,1997,4.5,0,2,0,0.0,0.45,0.0,0.0,,0,0
ENG-Premier League,2324,Brentford,Saman Ghoddos,IRN,"DF,MF",29,1993,8.2,1,9,2,22.2,1.1,0.24,0.11,0.5,0,0
ENG-Premier League,2324,Brentford,Sergio Reguilón,ESP,"MF,DF",26,1996,12.4,0,13,2,15.4,1.05,0.16,0.0,0.0,0,0
ENG-Premier League,2324,Brentford,Shandon Baptiste,GRN,MF,25,1998,2.5,1,2,2,100.0,0.79,0.79,0.5,0.5,0,0
ENG-Premier League,2324,Brentford,Thomas Strakosha,ALB,GK,28,1995,1.5,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Brentford,Vitaly Janelt,GER,"MF,DF",25,1998,33.9,1,21,7,33.3,0.62,0.21,0.05,0.14,0,0
ENG-Premier League,2324,Brentford,Yehor Yarmoliuk,UKR,MF,19,2004,7.6,0,11,5,45.5,1.44,0.65,0.0,0.0,0,0
ENG-Premier League,2324,Brentford,Yoane Wissa,COD,FW,26,1996,27.7,12,67,26,38.8,2.42,0.94,0.18,0.46,0,0
ENG-Premier League,2324,Brighton,Adam Lallana,ENG,MF,35,1988,9.4,0,11,2,18.2,1.16,0.21,0.0,0.0,0,0
ENG-Premier League,2324,Brighton,Adam Webster,ENG,DF,28,1995,12.7,0,8,1,12.5,0.63,0.08,0.0,0.0,0,0
ENG-Premier League,2324,Brighton,Ansu Fati,ESP,"MF,FW",20,2002,5.8,2,26,11,42.3,4.49,1.9,0.08,0.18,0,0
ENG-Premier League,2324,Brighton,Bart Verbruggen,NED,GK,20,2002,21.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Brighton,Benicio Boaitey,ENG,FW,19,2004,0.4,0,1,0,0.0,2.25,0.0,0.0,,0,0
ENG-Premier League,2324,Brighton,Billy Gilmour,SCO,MF,22,2001,23.6,0,25,5,20.0,1.06,0.21,0.0,0.0,0,0
ENG-Premier League,2324,Brighton,Carlos Baleba,CMR,MF,19,2004,14.7,0,21,5,23.8,1.43,0.34,0.0,0.0,0,0
ENG-Premier League,2324,Brighton,Danny Welbeck,ENG,"FW,MF",32,1990,18.8,5,41,16,39.0,2.18,0.85,0.12,0.31,0,0
ENG-Premier League,2324,Brighton,Evan Ferguson,IRL,FW,18,2004,15.2,6,33,20,60.6,2.17,1.32,0.18,0.3,0,0
ENG-Premier League,2324,Brighton,Facundo Buonanotte,ARG,"MF,FW",18,2004,15.2,3,21,9,42.9,1.39,0.59,0.14,0.33,0,0
ENG-Premier League,2324,Brighton,Igor,BRA,DF,25,1998,18.2,0,5,0,0.0,0.27,0.0,0.0,,0,0
ENG-Premier League,2324,Brighton,Jack Hinshelwood,ENG,"DF,MF",18,2005,9.7,3,14,8,57.1,1.45,0.83,0.21,0.38,0,0
ENG-Premier League,2324,Brighton,Jakub Moder,POL,"MF,DF",24,1999,6.9,0,11,3,27.3,1.6,0.44,0.0,0.0,0,0
ENG-Premier League,2324,Brighton,James Milner,ENG,"DF,MF",37,1986,8.6,0,5,1,20.0,0.58,0.12,0.0,0.0,0,0
ENG-Premier League,2324,Brighton,Jan Paul van Hecke,NED,DF,23,2000,26.3,0,15,6,40.0,0.57,0.23,0.0,0.0,0,0
ENG-Premier League,2324,Brighton,Jason Steele,ENG,GK,32,1990,17.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Brighton,João Pedro,BRA,"MF,FW",21,2001,22.7,9,75,26,34.7,3.3,1.14,0.07,0.19,4,5
ENG-Premier League,2324,Brighton,Joël Veltman,NED,DF,31,1992,17.6,1,6,3,50.0,0.34,0.17,0.17,0.33,0,0
ENG-Premier League,2324,Brighton,Julio Enciso,PAR,MF,19,2004,5.3,0,28,8,28.6,5.31,1.52,0.0,0.0,0,0
ENG-Premier League,2324,Brighton,Kaoru Mitoma,JPN,"MF,FW",26,1997,16.5,3,34,15,44.1,2.06,0.91,0.09,0.2,0,0
ENG-Premier League,2324,Brighton,Lewis Dunk,ENG,DF,31,1991,31.9,3,33,12,36.4,1.04,0.38,0.09,0.25,0,0
ENG-Premier League,2324,Brighton,Mahmoud Dahoud,GER,MF,27,1996,5.0,0,6,1,16.7,1.19,0.2,0.0,0.0,0,0
ENG-Premier League,2324,Brighton,Mark O'Mahony,IRL,FW,18,2005,0.7,0,1,0,0.0,1.43,0.0,0.0,,0,0
ENG-Premier League,2324,Brighton,Odeluga Offiah,ENG,DF,20,2002,1.4,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Brighton,Pascal Groß,GER,"MF,DF",32,1991,34.6,4,55,20,36.4,1.59,0.58,0.05,0.15,1,1
ENG-Premier League,2324,Brighton,Pervis Estupiñán,ECU,"DF,MF",25,1998,13.8,2,11,6,54.5,0.8,0.43,0.18,0.33,0,0
ENG-Premier League,2324,Brighton,Simon Adingra,CIV,MF,21,2002,24.7,6,52,22,42.3,2.11,0.89,0.12,0.27,0,0
ENG-Premier League,2324,Brighton,Solly March,ENG,"MF,DF",29,1994,6.2,3,14,6,42.9,2.27,0.97,0.21,0.5,0,0
ENG-Premier League,2324,Brighton,Tariq Lamptey,GHA,"DF,MF",22,2000,10.2,0,6,0,0.0,0.59,0.0,0.0,,0,0
ENG-Premier League,2324,Brighton,Valentín Barco,ARG,DF,19,2004,3.4,0,4,2,50.0,1.17,0.59,0.0,0.0,0,0
ENG-Premier League,2324,Burnley,Aaron Ramsey,ENG,MF,20,2003,5.9,0,6,2,33.3,1.02,0.34,0.0,0.0,0,0
ENG-Premier League,2324,Burnley,Ameen Al-Dakhil,BEL,DF,21,2002,11.7,1,8,3,37.5,0.68,0.26,0.13,0.33,0,0
ENG-Premier League,2324,Burnley,Anass Zaroury,MAR,FW,22,2000,1.7,0,3,1,33.3,1.78,0.59,0.0,0.0,0,0
ENG-Premier League,2324,Burnley,Arijanet Muric,KVX,GK,24,1998,10.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Burnley,Benson Manuel,ANG,MF,26,1997,1.3,0,4,2,50.0,3.1,1.55,0.0,0.0,0,0
ENG-Premier League,2324,Burnley,Charlie Taylor,ENG,DF,29,1993,25.9,1,10,1,10.0,0.39,0.04,0.1,1.0,0,0
ENG-Premier League,2324,Burnley,Connor Roberts,WAL,DF,27,1995,9.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Burnley,Dara O'Shea,IRL,DF,24,1999,32.1,3,19,5,26.3,0.59,0.16,0.16,0.6,0,0
ENG-Premier League,2324,Burnley,David Datro Fofana,CIV,FW,20,2002,9.8,4,19,10,52.6,1.95,1.02,0.21,0.4,0,0
ENG-Premier League,2324,Burnley,Han-Noah Massengo,FRA,MF,22,2001,0.2,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Burnley,Hannes Delcroix,HAI,DF,24,1999,6.5,0,4,2,50.0,0.61,0.31,0.0,0.0,0,0
ENG-Premier League,2324,Burnley,Hjalmar Ekdal,SWE,DF,24,1998,4.9,0,2,1,50.0,0.41,0.21,0.0,0.0,0,0
ENG-Premier League,2324,Burnley,Jack Cork,ENG,"DF,MF",34,1989,0.3,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Burnley,Jacob Bruun Larsen,DEN,MF,24,1998,13.9,6,44,16,36.4,3.17,1.15,0.11,0.31,1,1
ENG-Premier League,2324,Burnley,James Trafford,ENG,GK,20,2002,28.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Burnley,Jay Rodriguez,ENG,FW,34,1989,9.1,2,22,8,36.4,2.41,0.88,0.05,0.13,1,1
ENG-Premier League,2324,Burnley,Jordan Beyer,GER,DF,23,2000,13.7,0,5,0,0.0,0.36,0.0,0.0,,0,0
ENG-Premier League,2324,Burnley,Josh Brownhill,ENG,MF,27,1995,25.0,4,28,11,39.3,1.12,0.44,0.14,0.36,0,0
ENG-Premier League,2324,Burnley,Josh Cullen,IRL,MF,27,1996,22.9,2,16,5,31.3,0.7,0.22,0.13,0.4,0,0
ENG-Premier League,2324,Burnley,Jóhann Berg Guðmundsson,ISL,MF,32,1990,13.2,1,15,6,40.0,1.13,0.45,0.07,0.17,0,0
ENG-Premier League,2324,Burnley,Lorenz Assignon,TOG,DF,23,2000,13.7,1,9,4,44.4,0.66,0.29,0.11,0.25,0,0
ENG-Premier League,2324,Burnley,Luca Koleosho,ITA,"MF,FW",18,2004,10.8,1,23,5,21.7,2.13,0.46,0.04,0.2,0,0
ENG-Premier League,2324,Burnley,Lyle Foster,RSA,"FW,MF",22,2000,21.1,5,34,17,50.0,1.61,0.81,0.15,0.29,0,0
ENG-Premier League,2324,Burnley,Maxime Estève,FRA,DF,21,2002,14.5,0,7,0,0.0,0.48,0.0,0.0,,0,0
ENG-Premier League,2324,Burnley,Michael Obafemi,IRL,FW,23,2000,0.2,0,2,0,0.0,9.0,0.0,0.0,,0,0
ENG-Premier League,2324,Burnley,Mike Trésor,BEL,"MF,FW",24,1999,4.7,0,5,0,0.0,1.07,0.0,0.0,,0,0
ENG-Premier League,2324,Burnley,Nathan Redmond,ENG,"FW,MF",29,1994,1.6,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Burnley,Sander Berge,NOR,MF,25,1998,33.4,1,25,3,12.0,0.75,0.09,0.04,0.33,0,0
ENG-Premier League,2324,Burnley,Vitinho,BRA,"DF,MF",24,1999,25.7,0,25,4,16.0,0.97,0.16,0.0,0.0,0,0
ENG-Premier League,2324,Burnley,Wilson Odobert,FRA,"MF,FW",18,2004,23.3,3,49,14,28.6,2.1,0.6,0.06,0.21,0,0
ENG-Premier League,2324,Burnley,Zeki Amdouni,SUI,FW,22,2000,21.7,5,49,22,44.9,2.26,1.01,0.08,0.18,1,1
ENG-Premier League,2324,Chelsea,Alex Matos,ENG,MF,18,2004,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Chelsea,Alfie Gilchrist,ENG,DF,19,2003,2.3,1,5,1,20.0,2.17,0.43,0.2,1.0,0,0
ENG-Premier League,2324,Chelsea,Armando Broja,ALB,FW,21,2001,5.0,1,13,2,15.4,2.58,0.4,0.08,0.5,0,0
ENG-Premier League,2324,Chelsea,Axel Disasi,FRA,DF,25,1998,28.7,2,16,4,25.0,0.56,0.14,0.13,0.5,0,0
ENG-Premier League,2324,Chelsea,Ben Chilwell,ENG,"MF,DF",26,1996,8.4,0,12,4,33.3,1.43,0.48,0.0,0.0,0,0
ENG-Premier League,2324,Chelsea,Benoît Badiashile,FRA,DF,22,2001,14.9,0,6,1,16.7,0.4,0.07,0.0,0.0,0,0
ENG-Premier League,2324,Chelsea,Carney Chukwuemeka,AUT,MF,19,2003,2.5,1,3,2,66.7,1.19,0.79,0.33,0.5,0,0
ENG-Premier League,2324,Chelsea,Cesare Casadei,ITA,MF,20,2003,0.9,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Chelsea,Christopher Nkunku,FRA,"MF,FW",25,1997,4.9,3,16,9,56.3,3.25,1.83,0.19,0.33,0,0
ENG-Premier League,2324,Chelsea,Cole Palmer,ENG,"MF,FW",21,2002,29.0,22,108,46,42.6,3.73,1.59,0.12,0.28,9,9
ENG-Premier League,2324,Chelsea,Conor Gallagher,ENG,MF,23,2000,34.8,5,48,18,37.5,1.38,0.52,0.1,0.28,0,0
ENG-Premier League,2324,Chelsea,Deivid Washington,BRA,FW,18,2005,0.1,0,1,0,0.0,6.92,0.0,0.0,,0,0
ENG-Premier League,2324,Chelsea,Enzo Fernández,ARG,MF,22,2001,24.5,3,47,16,34.0,1.91,0.65,0.04,0.13,1,2
ENG-Premier League,2324,Chelsea,Ian Maatsen,NED,MF,21,2002,2.3,0,5,1,20.0,2.15,0.43,0.0,0.0,0,0
ENG-Premier League,2324,Chelsea,Jimi Tauriainen,ENG,FW,19,2004,0.0,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Chelsea,Joshua Acheampong,ENG,DF,17,2006,0.1,0,0,0,,0.0,0.0,,,0,0
ENG-Premier League,2324,Chelsea,Lesley Ugochukwu,FRA,MF,19,2004,3.3,0,0,0,,0.0,0.0,,,0,0
