league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
FRA-Ligue 1,2324,Marseille,Pau López,ESP,GK,28,1994,33,33,2939,32.7,39,1.19,125,88,68.8,13,11,9,7,21.2,3,3,0,0,0.0
FRA-Ligue 1,2324,Marseille,Rubén Blanco,ESP,GK,28,1995,2,1,121,1.3,2,1.49,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
FRA-Ligue 1,2324,Metz,Alexandre Oukidja,ALG,GK,35,1988,34,34,2987,33.2,57,1.72,178,126,68.0,8,5,21,6,17.6,6,6,0,0,0.0
FRA-Ligue 1,2324,Metz,Guillaume Dietsch,FRA,GK,22,2001,1,0,73,0.8,1,1.23,3,2,66.7,0,0,0,0,,0,0,0,0,
FRA-Ligue 1,2324,Monaco,Philipp Köhn,SUI,GK,25,1998,22,22,1980,22.0,32,1.45,98,66,67.3,11,5,6,5,22.7,6,5,1,0,16.7
FRA-Ligue 1,2324,Monaco,Radosław Majecki,POL,GK,23,1999,12,12,1080,12.0,10,0.83,57,46,82.5,9,2,1,5,41.7,0,0,0,0,
FRA-Ligue 1,2324,Montpellier,Benjamin Lecomte,FRA,GK,32,1991,30,30,2700,30.0,37,1.23,139,102,73.4,9,11,10,10,33.3,5,4,1,0,20.0
FRA-Ligue 1,2324,Montpellier,Dimitry Bertaud,COD,GK,25,1998,4,4,360,4.0,11,2.75,34,23,67.6,1,1,2,0,0.0,0,0,0,0,
FRA-Ligue 1,2324,Nantes,Alban Lafont,CIV,GK,24,1999,28,28,2496,27.7,43,1.55,111,75,61.3,7,4,17,6,21.4,8,8,0,0,0.0
FRA-Ligue 1,2324,Nantes,Denis Petrić,SRB,GK,35,1988,1,0,24,0.3,1,3.75,1,0,0.0,0,0,0,0,,0,0,0,0,
FRA-Ligue 1,2324,Nantes,Rémy Descamps,FRA,GK,27,1996,6,6,540,6.0,11,1.83,37,26,70.3,2,2,2,1,16.7,2,1,0,1,0.0
FRA-Ligue 1,2324,Nice,Marcin Bułka,POL,GK,23,1999,34,34,3060,34.0,29,0.85,96,74,69.8,15,10,9,17,50.0,8,5,3,0,37.5
FRA-Ligue 1,2324,PSG,Arnau Tenas,ESP,GK,22,2001,6,5,529,5.9,7,1.19,26,19,73.1,2,2,1,1,20.0,0,0,0,0,
FRA-Ligue 1,2324,PSG,Gianluigi Donnarumma,ITA,GK,24,1999,25,25,2169,24.1,20,0.83,111,91,82.0,18,6,1,11,44.0,4,3,1,0,25.0
FRA-Ligue 1,2324,PSG,Keylor Navas,CRC,GK,36,1986,4,4,360,4.0,6,1.5,12,6,50.0,2,2,0,1,25.0,1,1,0,0,0.0
FRA-Ligue 1,2324,Reims,Yehvann Diouf,SEN,GK,23,1999,34,34,3060,34.0,47,1.38,137,90,65.7,13,8,13,7,20.6,7,6,1,0,14.3
FRA-Ligue 1,2324,Rennes,Steve Mandanda,FRA,GK,38,1985,34,34,3060,34.0,46,1.35,151,105,69.5,12,10,12,7,20.6,3,3,0,0,0.0
FRA-Ligue 1,2324,Strasbourg,Alaa Bellaarouch,MAR,GK,21,2002,15,15,1350,15.0,26,1.73,63,37,58.7,4,2,9,2,13.3,4,3,1,0,25.0
FRA-Ligue 1,2324,Strasbourg,Matz Sels,BEL,GK,31,1992,19,19,1710,19.0,24,1.26,65,41,63.1,6,7,6,3,15.8,1,1,0,0,0.0
FRA-Ligue 1,2324,Toulouse,Guillaume Restes,FRA,GK,18,2005,34,34,3060,34.0,46,1.35,142,96,67.6,11,10,13,6,17.6,4,4,0,0,0.0
